Name,Age,Info
A. J. Lockhart,88,American baseball player
Adam Yacenda,70,American political advisor and newspaper publisher
Ahmad Saeed Kazmi,73,Pakistani Islamic scholar
Aimé Deolet,80,Belgian racing cyclist
Alan Jay Lerner,67,"American lyricist, lung cancer"
Albert Anderson,78,Northern Irish politician
Albert Wiesener,84,Norwegian lawyer
Alex Gorgal,86,Polish-born American NFL football player
Alexander Lipmann-Kessel,71,South African surgeon
Alfred Goulder,78,English cricketer
Alfred Paul Dorjahn,91,American classicist
Alfred Vagts,93,German-American historian and poet
Almeda Riddle,87,American singer
Aloys Bigirumwami,81,Rwandan Roman Catholic prelate
Alpheus Deane,69,American baseball player
Anahareo,79,Canadian animal rights activist
Andor Ónody,65,Hungarian football player and manager
Anděla Kozáková-Jírová,89,Czech lawyer
Annabelle Terhune,82,American journalist
Annes Varjun,78,Soviet Estonian ceramicist
Anthony Spilotro,48,"American mobster, blunt force trauma"
Anthony Turner Andreasen,79,British surgeon
Antonio Díaz Martínez,53,"Peruvian communist activist, shot"
Ara Bekaryan,73,Soviet Armenian painter
Archduchess Margaretha of Austria,92,Austrian royal
Archie Wood,60,Scottish footballer
Arnaldo Benfenati,62,Italian racing cyclist
Arnie Portocarrero,54,American Major League baseball player
Arthur Hoérée,89,Belgian musicologist
Arthur Pink,85,Australian rules footballer
Assi Rahbani,63,Lebanese musician
Aurèle Joliat,84,Canadian NHL ice hockey player
Basil Snell,79,British Anglican prelate
Ben Field,85,American novelist
Benny Goodman,77,"American bandleader and swing musician, heart attack"
Bentot,65,"Filipino comedian, heart failure"
Bill Miller,50,Australian rules footballer
Brooks Holder,71,American baseball player
Bryan Grant,76,American tennis player
Béla Szepes,82,"Hungarian Olympic skier and athlete (1924, 1928)"
Carl O. Wegner,88,American politician
Cathal Coughlan,48,"Irish politician, TD (since 1983)"
Charles F. Wennerstrum,96,American jurist
Charles Harrison,71,Australian politician
Charles Jordan,71,Canadian singer
Charles Ritchie Russell,Baron Russell of Killowen,"78, British jurist"
Charles Rogers,84,American NFL football player and coach
Charles Twigg,93,English-born South African cricketer
Chesley Bonestell,98,American painter
Choi Yong-sool,81,"South Korean martial artist, founder of Hapkido"
Christian Beullac,62,French politician
Clair L. Gleason,63,American college sports coach (Sterling College)
Clarence C. Mitchell,89,American politician
Cliff Townshend,70,English saxophonist
Clifford Mollison,89,British actor
Colin English,90,American academic administrator
Coluche,41,"French comedian and actor, traffic collision"
Dame Anna Neagle,81,English actress
Dame Helen Gardner,78,English literary critic
Dame Margaret Blackwood,77,Australian botanist and geneticist
Dame Mary Welsh,89,British military personnel
Dan Pagis,55,"Israeli poet, cancer"
Dana McLean Greeley,77,American Unitarian leader
Danny Clapton,51,English footballer
David Kalstone,52–53,"American literary critic, AIDS"
David Vivian Currie,73,Canadian soldier
Dean Reed,47,"American-East German singer and actor, drowned"
Deep Diver,17,British Thoroughbred racehorse
Denis McGrath,75,New Zealand politician and lawyer
Dennis Grainger,66,English footballer
Dennis Thompson,61,English footballer
Dennis Ziadie,39,"Jamaican footballer, traffic collision"
Desiderio Medina,66,Chilean footballer
Dick Rowe,64,British record producer
Dick Sudirman,64,Indonesian badminton player
