Name,Age,Info
Abdul Hai Arifi,87–88,Pakistani Islamic scholar and pharmacologist
Abdul Hakeem Chowdhury,61,Bangladeshi politician
Abdurrahman Baswedan,77,Indonesian diplomat
Adam Kossowski,80,Polish-British artist
Adolph Caesar,52,"American actor (A Soldier's Story, The Color Purple), heart attack"
Alan Hector,46,South African cricketer
Alan Lloyd,43,"American composer, AIDS"
Alan Missen,60,"Australian politician, heart attack"
Albert L. Lehninger,69,American biochemist
Albert Tate Jr.,65,American judge
Alex Chaplin,94,Scottish footballer
Alexandru Giugaru,88,Romanian actor
Alice Mann,86,American actress
Allan McHardy,71,Australian rules footballer
Allene Talmey,83,American journalist
Anastasia Zuyeva,89,Soviet actress
Anders Dahlgren,60,Swedish politician
Andrew Fekete,31,"British artist, respiratory failure"
Andrew Freeth,73,British painter
Andrew J. Santaniello Jr.,59,"American politician, member of the Connecticut Senate (since 1983)"
André Barbeau,54,Canadian neurologist
Andy Chisick,69,American football player
Angelo Litrico,58,Italian fashion designer
Anthony Otter,89,British Anglican prelate
Anthony T. Lucas,74–75,Irish archaeologist
Antonio Carrillo Flores,76,Mexican politician
Aram Haigaz,85,Armenian-American writer
Archibald Charles Barrington,79,New Zealand peace activist
Ari Ankorion,77,Russian-Israeli politician
Arne Sultan,60,American filmmaker
Arthur Rude,59,"American politician, member of the Florida House of Representatives (1966–1976)"
Audrey Williamson,72,British writer
Bartlett Robinson,73,"American actor, cancer"
Beatrice Centner Davidson,76–77,Canadian architect
Beatrice White,83,British literary scholar
Bernard Malamud,71,American novelist (The Natural)
Bernard Rowe,81,"English Olympic wrestler (1924, 1928)"
Bert Metzger,77,American football player
Bertrand Harris Bronson,83,American academic
Bill Patton,73,American Major League baseball player
Bob Polk,71,American basketball coach
Bunker Hill,44,American musician
Cahir Davitt,91,Irish judge
Carmel Humphries,76,Irish zoologist
Cass Canfield,88,American publisher
Cesare Polacco,85,Italian actor
Charles A. Halleck,85,"American politician, member of the U.S. House of Representatives (1935–1969)"
Charles Catlow,78,English cricketer
Charles Hahn,92,German Olympic rower (1920)
Charles Starrett,82,"American actor, cancer"
Chen Yonggui,71,"Chinese politician, vice premier (1975–1980), lung cancer"
Chris Koch,58,South African rugby player
Clarence D. Lester,63,American fighter pilot
Claude L. Harrison,99,Canadian politician
Constantin Stanciu,78,Romanian footballer
Daisy Bacon,87,American magazine publisher
Dave McCormick,42,American NFL football player
David Dortch Warriner,57,"American judge, heart attack"
David Macindoe,68,English cricketer
Denys Gaith,76,Syrian Greek Catholic prelate
Derek Farr,74,English actor (The Dam Busters)
Dimitrije Najdanović,88,Yugoslav theologian
Ding Ling,81,Chinese author
Dmitri Protopopov,88,Soviet Tajik politician
Dominica Legge,80,British linguist
Donald Manes,52,"American politician, suicide by stabbing"
Dudley Cockle,78,English cricketer
E. Gwyndaf Evans,73,Welsh poet
Ed Aspatore,76,American NFL football player
Eddie McAteer,71,Northern Irish politician
Edith Atwater,74,"American actress, cancer"
Edmond Leclère,74,French Olympic basketball player (1936)
Edmund Port,80,American judge
Edward Jordan Dimock,96,American judge
Edward MacLysaght,98,English-Irish genealogist
Eileen Olive Deste,77,New Zealand photographer
Elisabeth Barker,75,English historian and journalist
Elizabeth Monroe,81,English historian
Elizabeth Smart,72,Canadian writer
Emerson Norton,85,American Olympic athlete (1924)
Emilio de Brigard Ortiz,97,Colombian Roman Catholic prelate
Emily Benton Frith,91,American film producer
Emma Baron,81,Italian actress
Eric Brown,61,"Scottish golfer, stroke"
Ernest Rogez,78,French Olympic water polo player (1928)
Ernie Rosteck,63,American NFL football player
Ernst König,77,German general
Eugen Gerstenmaier,79,German politician
Felix Scheffler,71,German soldier
Franciska Clausen,87,Danish painter
Frank W. Hawthorne,85,American judge
Frank W. Tomasello,86,American judge
František Hochmann,81,Czechoslovak Olympic footballer (1924)
Franz Karasek,61,Austrian politician
Fred Downer,89,American baseball player
Fred Hancock,67,American Major League baseball player
Georg-Peter Eder,65,German flying ace
George Cehanovsky,93,Russian-American singer
George Grant,83,American Major League baseball player
George Horsburgh,75,Scottish rugby player
George Jackson,64,British animator
George Nelson,77,American industrial designer
George Owen,84,"Canadian-American NHL ice hockey player, stroke"
George Smith,71,American NBL football player
George Thornewell,87,English footballer
Georgia O'Keeffe,98,American painter
Georgie Harris,87,British actor
Gerhard Meidell Gerhardsen,73,Norwegian economist
Gerhard Weber,76,German architect
Giacomo Di Segni,66,"Italian Olympic boxer (1948, 1952)"
Giuseppe Gorletti,94,"Italian Olympic wrestler (1920, 1924)"
Giuseppe Moruzzi,75,Italian neuroscientist
Gloria Blondell,70,"American actress, cancer"
Gordon Collins,71,English cricketer
Gordon Hocking,66,Australian rules footballer
Grady W. Dalton,77,"American politician, member of the Virginia House of Delegates (1958-1971)"
