Name,Age,Info
Adriaan A. van der Willigen,76,Dutch philatelist
Ajoy Mukherjee,85,Indian politician
Al Burruss,58,"American politician, member of the Georgia House of Representatives (since 1964), pancreatic cancer"
Al Mooney,80,American aircraft designer
Alastair McIntyre,59,"British film editor, complications from a stroke"
Albert Cooper,75,"British politician, MP (1950–1966, 1970–1974)"
Albert Ernest Forsythe,89,American aviator
Albert Reed Jr.,64,American actor
Alden Pasche,75,American basketball coach
Aleksandr Akimov,33,"Soviet engineer, acute radiation syndrome"
Alena Aladava,79,Soviet Belarusian art historian and curator
Alexander Archdale,80,British-Australian actor
Alfredo Pezzana,93,Italian Olympic fencer (1936)
Alfredo Varela Jr.,73,Mexican screenwriter
Alicia Moreau de Justo,100,Argentine social activist and politician
Altiero Spinelli,78,"Italian politician, MEP (since 1979)"
André Jubelin,79,French naval admiral
Anna Kamieńska,66,Polish writer
Anton Banko,58,Slovenian inventor and engineer
Archibald Hugh Mitchell,82,"Canadian politician, MP (1935–1940)"
Archie Sam,71,American Natchez leader
Archie Van Winkle,61,"American soldier, Medal of Honor recipient"
Arndt von Bohlen und Halbach,48,"German socialite, oral cancer"
Arthur Lipsett,49,"Canadian filmmaker, suicide"
Arthur Rubloff,83,American real estate developer
August Schaffer,80,Austrian Olympic cyclist (1928)
Avery Rockefeller,82,"American investment banker and conservationist, heart attack"
Behçet Uz,92–93,Turkish politician
Benjamin Muse,88,"American politician and journalist, member of the Virginia Senate (1936)"
Bernard Ades,82,American attorney and civil rights activist
Bernard Naylor,78,English-Canadian composer
Bill Cook,90,"Canadian NHL ice hockey player, cancer"
Bill Findlay,72,Australian rules footballer
Bill Nairn,73,Canadian football player
Bill Tricklebank,70,New Zealand cricketer
Billy Mackel,73,American guitarist
Borislav Milić,60,Yugoslav chess player
Boy Gobert,60,German actor
C. H. V. Sutherland,78,English numismatist
Carlo Betocchi,87,Italian poet
Carlton W. Barrett,66,"American soldier, Medal of Honor recipient"
"Charles ""Hungry"" Williams",51,"American drummer, Paget's disease of bone"
Charles Albertine,57,American composer
Charles Bierer Wrightsman,90,American oil executive
Charles F. Voegelin,80,American linguist
Charlie Colombo,65,American soccer player
Chester B. Bowles,85,"American politician and diplomat, governor of Connecticut (1949–1951), member of the U.S. House of Representatives (1959–1961), Parkinson's disease"
Chris Anderson,60,"Scottish footballer, motor neurone disease"
Chris Anderson,60,Scottish footballer and football administrator
Chris Graham,86,Canadian Olympic boxer (1920)
Clarence Drouillard,72,Canadian National Hockey League player (Detroit Red Wings)
Clyde Bernhardt,80,American trombonist
Colin Lyman,72,English footballer
Constantine John Alexopoulos,79,American mycologist
Cornelia Johanna de Vogel,81,Dutch classical scholar and theologian
Cornelis Gijsbert Gerrit Jan van Steenis,84,Dutch botanist
Danielle Chenard,28,Canadian Olympic handball player (1976)
Dennis Emery,52,English footballer
Desmond Gillespie,74,Northern Irish politician
Dixie McArthur,94,American Major League baseball player
Don MacLaughlin,79,American actor
Donald S. Klopfer,84,American publisher (Random House)
Dora Russell,92,British author and feminist
Dudley Spurling,72,Bermudian politician and Olympic swimmer (1936)
Eana Jeans,95,New Zealand painter
Ed Courtney Jr.,80,Australian rugby league footballer
Ed Wells,85,American Major League baseball player
Edgar Parin d'Aulaire,87,American children's author
Edoardo Anton,76,Italian filmmaker
Eduardo González-Gallarza,88,Spanish general and politician
Edward Hart,74–75,Scottish physician
Edward Righton Jr,73,English cricketer
Edward Root,83,Australian rugby league player
Edwin Genung,78,American Olympic middle-distance runner (1932)
Edwin Sherbon Hills,79,Australian geologist
Eleanor Frances Lattimore,81,American writer
Elena Žalinkevičaitė-Petrauskienė,85,Soviet Lithuanian actress
Elio de Angelis,28,"Italian racing driver, smoke inhalation"
Elisabeth Bergner,88,"Austrian-British actress, cancer"
Emma Genevieve Gillette,88,American conservationist
Emygdio de Barros,90–91,Brazilian painter
Enzo Liberti,60,"Italian actor, complications from heart surgery"
Erich Gerberding,64,German actor
Ernle Bradford,64,British historian
Erwin Chamberlain,71,Canadian ice hockey player
Esther Van Wagoner Tufty,89,American journalist
Eugenie Gershoy,85,American artist
Eva Waldemarsson,82,Swedish writer
Evo Anton DeConcini,85,American jurist
Fazlul Karim,80,Bangladeshi politician and lawyer
Ferdinand Bruhin,77,Swiss footballer
Florence Dagmar,90,American actress
Florence Elsie Inman,94,"Canadian politician, complications from a heart attack"
