Name,Age,Info
A. N. Sherwin-White,82,British ancient historian and academic
Achille Zavatta,78,"French clown, artist and circus operator, suicide"
Adelaide Hall,92,"American jazz singer and entertainer, pneumonia"
Aidan Crawley,85,"British journalist, television executive, and politician"
Alan Clare,72,British jazz pianist and composer
Albert Collins,61,"American electric blues guitarist and singer, lung cancer"
Alberto Breccia,74,Uruguay-Argentine artist and cartoonist
Alexander Langmuir,83,American epidemiologist
Alexandru Piru,76,Romanian literary critic and historian
Ali Mohsen,53,Yemeni football player
Allan Hoover,86,"British-American mining engineer, rancher, and financier"
Alois De Hertog,66,Belgian racing cyclist
Amy Jagger,85,British Olympic artistic gymnast
Anatols Dinbergs,82,Latvian diplomat
Andrew Gregory Grutka,84,American bishop of the Catholic Church
Andrey Tikhonov,87,Soviet mathematician and geophysicist
András Béres,69,Hungarian football player and manager
Angus Maude,81,British politician
Anna Sten,84,Ukrainian-American actress
Anne Smith,52,"British middle-distance runner and Olympian, stroke"
Anthony Burgess,76,"English writer (A Clockwork Orange) and composer, lung cancer"
Arnold Boghaert,73,Belgian Roman Catholic bishop
Arnold Hamer,76,English cricket player
Artashes Arakelian,84,Soviet and Armenian economist and academic
Arthur Rowe,87,English football player and  manager
Arvid Fladmoe,78,Norwegian composer and conductor
Basuki Abdullah,78,"Indonesian painter, beaten to death"
Bernardo Segall,82,Brazilian-American composer and concert pianist
Bertil Lundman,94,Swedish anthropologist
Bill Bixby,59,"American actor (The Incredible Hulk, My Favorite Martian, The Courtship of Eddie's Father), prostate cancer"
Bill Dickey,86,American baseball player and manager
Bill Laughlin,77,American basketball player
Bob Woolf,65,American sports agent
Branko Radović,59,Yugoslav basketball player and coach
Bruce Turner,71,"English jazz saxophonist, clarinetist, and bandleader"
Bruno Rossi,88,Italian experimental physicist
Burgess Whitehead,83,American Major League Baseball player
Butch Nieman,75,American Major League Baseball player
Camillo Togni,71,"Italian composer, teacher, and pianist"
Carl Lorenz,79,German cyclist
Carlo Da Prà,62,Italian Olympic bobsledder
Cem Ersever,43,"Turkish Army officer, murdered"
Charles Aidman,68,"American actor, cancer"
Christopher Frank,50,"British-French writer, screenwriter, and film director, heart attack"
