Name,Age,Info
Aaron Kramer,75,American poet and social activist
Abdurakhman Avtorkhanov,88,Soviet/Chechen historian and writer
Aklilu Lemma,61,Ethiopian scientist
Al Blanche,87,American baseball player
Alan Gibson,73,"English journalist, writer and radio broadcaster"
Alejo Peralta,80,Mexican baseball executive
Aleksejs Auziņš,86,Latvian football and ice hockey player
Alexander Slawik,96,German nazi cryptographer and Japanese ethnologist
Alfred Bailey,92,"Canadian poet, anthropologist and ethno-historian"
Allan Francovich,56,"American film maker, heart attack"
Allen Ginsberg,70,"American poet and writer, liver cancer"
Alparslan Türkeş,79,"Turkish politician, heart attack"
Andreas Rett,73,Austrian neurologist and author
Andrew Joseph Galambos,72,Hungarian astrophysicist and philosopher
Andrés Rodríguez,73,"President of Paraguay (1989–1993), cancer"
Ann Petry,88,"American children's author, novelist and journalist"
Anthony Bushell,92,English film actor and director
Aníbal Tarabini,55,"Argentine football player, traffic collision"
Ashley Harvey-Walker,52,"English cricketer (Derbyshire County Cricket Club), murdered"
August Heckscher II,83,"American public intellectual and writer, heart failure"
Bernard Chevallier,84,French equestrian and Olympic champion
Bernard Vonnegut,82,"American atmospheric scientist, cancer"
Biju Patnaik,81,"Indian politician, aviator and businessman"
Bill McArthur,78,American football player and coach
Bob Cain,72,"American baseball player, cancer"
Bob Carpenter,79,American basketball player
Brian May,62,"Australian film composer (Mad Max) and conductor, heart attack"
Bunny Roger,85,English couturier and socialite
Camillo Ripamonti,77,Italian politician and engineer
Carl Walter Liner,82,Swiss painter
Carlos Enrique Taboada,67,Mexican screenwriter and director
Castor de Andrade,71,Brazilian mobster and bicheiro
Chaim Herzog,78,"Israeli politician, general, and author"
Charles Hayes,79,"American politician, lung cancer"
Chia-Shun Yih,78,"Chinese-American engineer and physicist, heart failure"
Claude Tresmontant,71,"French philosopher, hellenist and theologian"
Count Geoffrey Potocki de Montalk,93,"New Zealand poet, polemicist and pretender to the Polish throne"
Craig D. Button,32,"United States Air Force pilot, suicide by plane crash"
Dale Burnett,88,American gridiron football player
Dan Swartz,62,American basketball player
David Dockendorf,73,American sound engineer
David Keith-Lucas,86,British aeronautical engineer
David McCord,99,American poet
David Shahar,70,"Israeli fiction writer, translator, and editor"
Denis Compton,78,"English cricketer, sepsis"
Diosdado Macapagal,86,"President of the Philippines and poet, heart failure and pneumonia"
Doc Urich,68,"American football player and coach, heart attack"
Don Bexley,87,"American actor and comedian, heart and kidney failure"
Don Pietromonaco,61,"American actor and radio personality, complications from emphysema"
Doris Angleton,46,"American socialite and murder victim, shot"
Dorothy Frooks,101,"American author, lawyer, and suffragist"
Dorothy Hill,89,Australian geologist and palaeontologist
Dorothy Norman,92,"American photographer, writer, and arts patron"
Doug McMahon,79,Canadian soccer player
Dudley Pope,71,British writer
Dulce María Loynaz,94,"Cuban poet, and is, cancer"
Eddie Quigley,75,English football player and manager
Edward Barker,46,English cartoonist
Eldon Hoke,39,"American musician, railroad accident"
Elliott Merrick,91,American author
Emilio Azcárraga Milmo,66,"Mexican newspaper publisher, pancreatic cancer"
Eric Pearce,92,Australian broadcaster
Erik Blumenfeld,82,German politician
Esmeralda Arboleda Cadavid,76,"Colombian activist, politician and diplomat, kidney failure"
Esther Schiff Goldfrank,100,American anthropologist
Eugene Stoner,74,"American firearms designer, cancer"
Eva Blanco,16,"Spanish girl and murder victim, stabbed"
Evsey Domar,82,Russian American economist
Felice Ippolito,81,Italian geologist and politician
Finn Wold,69,"Norwegian-American biochemist, cancer"
Francis Johnson,86,American basketball player
Francis Walder,90,Belgian writer and soldier
Frank Joyner,78,Scottish football player and manager
Fred Emery,71,Australian psychologist
Gabriel Figueroa,90,Mexican cinematographer
Geoffrey Hardy-Roberts,89,"British Army officer, politician and courtier"
George Wald,90,American scientist and recipient of the Nobel Prize in Physiology or Medicine
Georgy Klimov,68,Russian linguist
Georgy Shonin,61,"Soviet cosmonaut, heart attack"
Gerda Christian,83,"German private secretary of Adolf Hitler during World War II, cancer"
Gino Pernice,69,Italian actor
Glanville Williams,86,Welsh legal scholar
Gus Dugas,90,Canadian-born baseball outfielder
Gérard Lecomte,70,French arabist
Gösta Johansson,68,"Swedish ice hockey player, liver cancer"
Günther Laukien,72,German physicist and entrepreneur
Harry Nicholas,92,British trade unionist
Harry Rosenberg,88,American baseball player
Heberto Castillo,58,Mexican political activist
Helene Hanff,80,"American writer, peritonitis, diabetes"
Hena Rodríguez,81,Colombian sculptor
Henri Vilbert,93,French actor
Henriette Wyeth,79,American artist
Henry George Lang,78,"New Zealand economist, university professor and company director"
Henry Gilford Picard,90,American golfer
Henry Mucci,88,"United States Army Rangers colonel, stroke"
Herbert Czaja,82,German politician
Herbert Zipper,92,"Austrian-American composer, conductor, and Dachau concentration camp inmate"
Herta Ehlert,92,German nazi camp guard during World War II
Hideo Fujimoto,78,"Japanese baseball pitcher, heart attack"
Homer Peel,94,American baseball player and manager
Hubert McLean,89,New Zealand rugby player
Ignazio Buttitta,97,Italian poet
Inge Viermetz,89,Nazi Germany official
Ivar Eriksson,87,Swedish football defender
J. J. Colledge,89,British naval historian and author
Jack Kent Cooke,84,"Canadian-American businessman, cardiac arrest, heart attack"
James Ross,85,Scottish surgeon
Jan Bruins,56,Dutch motorcycle road racer
Jean Carlu,96,French graphic designer
Jean Louis,89,French-American costume designer
Jeanne Hoban,72,"British Trotskyist, Alzheimer's disease"
Jerome Cosentino,65,American politician
Jerry Pacht,75,"American judge, cerebral hemorrhage"
Joan Yarde-Buller,89,English socialite
Joaquin Mazdak Luttinger,73,American physicist
Joe Coleman,74,American baseball player
John A. Brown Jr.,35,"American convicted murderer, execution by lethal injection"
