Name,Age,Info
A. Hays Town,101,American architect
Agustín González,74,"Spanish film actor, pneumonia"
Aksella Luts,99,"Estonian screenwriter, actress and filmmaker"
Albert Schatz,84,"American microbiologist, discoverer of streptomycin, pancreatic cancer"
Aleksandr Prokhorov,58,"Soviet footballer (Dynamo Kyiv, FC Spartak Moscow)"
Ali Shukri,85,"Yugoslav-Kosovan politician, President of the Executive Council (1963–1967) and Presidency (1981–1982)"
Alton Tobey,90,American muralist and painter
Amrish Puri,72,"Indian actor (Indiana Jones and the Temple of Doom, Mr. India, Gandhi), cerebral hemorrhage"
Anatoly Kartashov,67,Russian water polo player and Olympic silver medalist
Anita Kulcsár,28,"Hungarian handball player and Olympic silver medalist, traffic collision"
Antonio Benítez-Rojo,73,Cuban writer
Antonín Klimek,67,Czech historian
Arnold Denker,90,"American chess player, brain cancer"
Arthur Walworth,101,American writer and biographer
Artidoro Berti,84,Italian Olympic runner
Artūras Barysas,50,"Lithuanian counter-culture actor, singer, photographer and filmmaker"
Aurélie Nemours,94,French painter
Badja Djola,56,"American actor (Mississippi Burning, The Hurricane, The Last Boy Scout), heart attack"
Barbara Craig,89,"British archaeologist, classicist, and academic, specialising in classical pottery"
Basil Hoskins,75,English theatre and film actor
Bernard Meadows,89,British modernist sculptor
Bezerra da Silva,77,Brazilian samba musician
Bill Andersen,80,New Zealand communist and trade union leader
Bill Shadel,96,"American journalist, prostate cancer"
Bill Voiselle,86,American Major League Baseball player
Bob Mabe,75,American baseball player
Bob Matsui,63,"American Democratic Party member of the House of Representatives, cancer"
Bobby Howitt,79,Scottish football player and manager
Bogle,40,"Jamaican dancer, homicide"
Boris Shtokolov,74,"Soviet and Russian singer, one of the greatest basses of the 20th century"
Bud Poile,80,"Canadian professional ice hockey player, member of Hockey Hall of Fame, Parkinson's disease"
C. M. Pennington-Richards,93,British film director and cinematographer
Carl Möhner,83,"Austrian film actor, director, screenwriter and painter, Parkinson's disease"
Carlos Cortez,81,American artist and political activist
Charles Martin,45,"American gridiron football player, kidney failure"
Charles Paul Wilp,72,"German advertising-designer, artist, and photographer"
Charles Thurston Brockman,77,American broadcaster and president of the United States Auto Club (1969-1972)
Charlie Bell,44,"Australian business executive, CEO of McDonald's, colon cancer"
Charlotte MacLeod,82,"American mystery writer, Alzheimer's disease"
Claude Meillassoux,79,French neo-Marxist economic anthropologist and Africanist
Conroy Maddox,92,British surrealist painter
Consuelo Velázquez,88,"Mexican songwriter and lyricist, and author of the song ""Bésame Mucho"""
