Name,Age,Info
Alec Coxon,90,"English cricketer, Yorkshire and England player"
Alethea Hayter,94,British writer
Alex Elmsley,76,"English magician, heart attack"
Alex St. Clair,64,American musician (Captain Beefheart)
Alf McMichael,78,Northern Irish footballer
Allaire du Pont,92,American Thoroughbred racehorse owner (Kelso)
Allan Temko,81,"American architectural critic and writer, Pulitzer Prize-winning architecture critic for the San Francisco Chronicle, brief illness"
Andrea Bronfman,60,"American philanthropist and wife of Charles Bronfman, hit by car"
Andrei Iordan,71,"Kyrgyz politician, former prime minister of Kyrgyzstan"
Andrew Gonzalez,65,"Filipino linguist and educator, complications from diabetes"
Andy Caldecott,41,"Australian Dakar Rally motorcycle rider, fatal neck injury sustained in an accident in Mauritania"
Anna Malle,38,"American adult film actress, car accident"
Anne Meacham,80,"American actress (Suddenly, Last Summer, Another World, Lilith)"
Anthony Franciosa,77,"American actor, third husband of Shelley Winters, stroke"
Anton Rupert,89,"South African businessman, philanthropist and founding member of World Wide Fund for Nature, natural causes"
Arnold Graffi,95,"German Researcher for oncology, long illness"
Awn Alsharif Qasim,73,"Sudanese writer, educator and Islamic scholar"
Aydın Güven Gürkan,65,Turkish academic and politician (chairman of SHP)
Bernard Dafney,37,"American football player, heart attack"
Bill Rice,74,American artist
Bob Weinstock,77,"American record producer, founded independent jazz record label Prestige Records, complications of diabetes"
Boris Kostelanetz,94,Russian-born American tax lawyer
Brendan Cauldwell,83,"Irish actor, died in sleep"
Bruce Wilson,64,"Australian journalist, cancer"
Bryan Harvey,49,"American musician (House of Freaks), blunt-force trauma"
Bubba Morton,74,American baseball player and coach
Carlos (Café) Martínez,40,"Venezuelan corner infielder, former MLB player, complications from a long illness"
Carol Lambrino,86,"Romanian Prince, elder son of King Carol II of Romania"
Charles O. Porter,86,"American politician, representative from Oregon (1957–1961), Alzheimer's disease"
Charles Steen,86,American geologist and businessman
Chris McKinstry,38,"Canadian independent researcher in artificial intelligence, suicide by inert gas asphyxiation"
Chris Penn,40,"American actor (Footloose, Reservoir Dogs, The Funeral), heart disease"
Christopher Lloyd,84,"British gardening writer, stroke"
Clarence Ray Allen,76,"American convicted murderer, executed by lethal injection"
Comandanta Ramona,47,"Mexican Tzotzil Zapatista rebel leader and women's rights advocate, kidney disease and tuberculosis"
Conrad Hendricks,27,"South African professional football player, car crash"
Coretta Scott King,78,"American civil rights leader, widow of Martin Luther King Jr., ovarian cancer"
Dave Brown,52,"American NFL player, heart attack"
Dave Lepard,25,"Swedish musician (Crashdïet), suicide"
Dave Tatsuno,92,"Japanese American businessman, documented the Topaz Japanese internment camp in his film Topaz"
David Maust,51,"American convicted serial killer, heart failure after a botched suicide attempt"
David Rosenbaum,63,"American journalist (The New York Times), head injury during mugging"
Dawn Lake,78,Australian entertainer
Dennis Marks,73,American animation writer-producer
Don Stewart,70,"American actor (The Guiding Light), lung cancer"
Dragan Lukić,77,Serbian writer
Edward N. Hall,91,"U.S. Air Force rocket expert, father of the Minuteman intercontinental ballistic missile program"
Eldon Dedini,84,"American cartoonist, esophageal cancer"
Elliot Forbes,88,"American conductor, musicologist, Harvard University professor and Beethoven scholar"
Elmer Otto Friday,81,American politician
Elson Becerra,27,"Colombian footballer, shot"
Eric Namesnik,35,"American Olympic swimmer, injuries from a car crash"
Ernie Baron,65,"Filipino radio/TV host and meteorologist, heart attack brought about by diabetes"
Fayard Nicholas,91,"American dancer, elder of the renowned Nicholas Brothers, pneumonia and complications of a stroke"
Francis Steinmetz,91,Dutch author and Colditz Castle escapee
Frank Butler,89,British sports journalist
