Name,Age,Info
Abie Nathan,81,"Israeli peace activist, founder of Voice of Peace radio station"
Aditya Prakash,84,Indian architect
Affonso Évora,89,Brazilian Olympic bronze medal-winning (1948) basketball player
Agneta Bolme Börjefors,67,Swedish television presenter and royal reporter
Ahmad Faraz,74,Pakistani poet
Alberto Achacaz Walakial,79,"Chilean craftsman, one of the last full-blooded Alacaluf, blood poisoning"
Aleksandr Solzhenitsyn,89,"Russian novelist and historian, Nobel Prize winner (1970), heart failure"
Alexander Slobodyanik,65,"Ukrainian pianist, meningitis"
Alfred Rainer,20,"Austrian Nordic combined skier, paragliding accident"
Algimantas Masiulis,77,Lithuanian actor
Allen Kolstad,76,"American politician, lieutenant governor of Montana (1988–1991), cancer"
Anatoly Khrapaty,45,"Kazakh Olympic weightlifter (USSR and Kazakhstan), motorcycle accident"
Andrea Pininfarina,51,"Italian businessman, CEO of Pininfarina, motorcycle accident"
Ann-Mari Aasland,93,Norwegian politician
Anton Allemann,72,"Swiss footballer (PSV Eindhoven, 1. FC Nürnberg, Grasshopper Zürich), heart attack"
Antonio Gava,78,"Italian politician, minister of the interior (1988–1990), after long illness"
Arase Nagahide,59,"Japanese sumo wrestler, heart failure"
Ashok Mankad,61,Indian cricketer
Aurelius H. Piper Sr.,92,"American hereditary chief of the Golden Hill Paugussett Indian Nation since 1959, natural causes"
Aziz Abdullah Ahmed,80,"Iraqi Kurdish judge, Alzheimer's disease"
Babatunde Jose,82,Nigerian journalist and newspaper editor
Barbara Warren,65,"American triathlete, bicycle crash"
Bernie Brillstein,77,"American film producer (Ghostbusters, The Blues Brothers, ALF), chronic pulmonary disease"
Bernie Mac,50,"American comedian and actor (The Bernie Mac Show, Ocean's Eleven, Friday), complications from pneumonia"
Bertil Ahlin,81,Swedish boxer
Bill Gwatney,48,"American politician, Arkansas state senator (1992–2002), Democratic Party of Arkansas chairman, shot"
Bill Stulla,97,American children's television show host
Binyamin Gibli,89,Israeli head of military intelligence
Bob Cunis,67,New Zealand cricketer
Bob Humphrys,56,"British BBC sports presenter, lung cancer"
Bob Mountford,56,"British footballer (Port Vale, Rochdale), cancer"
Bob Worthington,72,American honorary consul of the Cook Islands to the United States (1985–2008)
Bobby Cummings,72,"English footballer (Aberdeen, Newcastle United)"
Brian Hambly,71,Australian rugby league player
Bridget Cracroft-Eley,74,British Lord-Lieutenant of Lincolnshire since 1995
Bruno Dallansky,79,Austrian actor
Buddy Harman,79,"American session musician, heart failure"
Butch White,72,"British cricketer (Hampshire, Glamorgan, England)"
Carlos Aponte,69,Colombian footballer
Carlos Arguelles,90,Filipino architect
Carlos Meglia,50,Argentine comic book artist (Cybersix)
Carlton John,92,Trinidadian West Indian cricket umpire
Cezmi Kartay,88,Turkish civil servant and politician (chairman of SODEP)
Chao Yao-tung,92,"Taiwanese minister of economic affairs, multiple organ dysfunction syndrome"
Chidananda Saraswati,91,"Indian spiritual leader, president of the Divine Life Society"
Chief Mqalo,91,"South African Chief of the AmaKhuze Tribe, Alice"
Chittaranjan Mitra,82,Indian scientist and administrator
Christie Allen,53,"Australian pop singer, pancreatic cancer"
Christopher González,65,"Jamaican sculptor and painter, cancer"
Clair Isbister,92,Australian paediatrician
Clarence Rost,94,Canadian ice hockey player
Colm Condon,87,"Irish lawyer, Attorney General (1965–1973)"
Craig Jones,23,"British motorcycle racer, head injuries from a race crash"
Cynthia Ahearn,55,American echinodermologist and museum specialist
Daniel L. Norris,73,"Canadian commissioner of the Northwest Territories (1989–1994), heart failure"
