Name,Age,Info
Abu Ghadiya,29,"Syrian militant, shot"
Adam Watene,31,"Cook Islands rugby league player, heart attack"
Al Gallodoro,95,"American jazz musician, after brief illness"
Albert Boime,75,"American art historian, myelofibrosis"
Albert Hall,74,"American hammer throw champion, complications from Alzheimer's disease"
Alex Close,86,"Belgian road bicycle racer, winner of Tour of Belgium (1955) and Critérium du Dauphiné Libéré (1956)"
Alexander Lowen,97,American psychotherapist
Alexei Cherepanov,19,"Russian ice hockey player, acute cardiomyopathy"
Alexey Prokurorov,44,"Russian cross-country skier, car accident.[citation needed]"
Alfredo E. Evangelista,82,"Filipino archaeologist, discovered the Laguna Copperplate Inscription"
Allan Rosenfield,75,"American physician, dean of Columbia University School of Public Health (1986–2008), amyotrophic lateral sclerosis"
Allan Scott,85,"Australian businessman and road transport magnate, complications from diabetes and heart condition"
Allan Spear,71,"American politician, first openly gay member of Minnesota Senate (1973–2000), complications of heart surgery"
Allen Blanchard,79,Australian politician
Alton Ellis,70,"Jamaican singer, lymphatic cancer"
Andy Young,83,Scottish footballer (Raith Rovers)
Anita Ellis,88,"Canadian-born American singer and actress, complications from Alzheimer's disease. (Death announced on this date).[failed verification]"
Anna Hagemann,89,German Olympic athlete
Anne Mackenzie-Stuart,78,British political activist
Anne Margrethe Strømsheim,94,Norwegian resistance member
Anne Pressly,26,"American television news anchor (KATV), injuries during home invasion"
Antonio Iannucci,94,Italian archbishop of Pescara-Penne (1959–1990)
Antonio José González Zumárraga,83,"Ecuadorian cardinal, stomach cancer"
Ardeshir Mohasses,70,"Iranian illustrator and cartoonist, heart attack"
Arlene Sherman,61,American television producer (Sesame Street)
Arthur J. Crowns,86,American politician and academic lawyer
Arthur Sendas,72,"Brazilian supermarket magnate, shot"
Augusto Petró,90,"Brazilian bishop of Uruguaiana (1964–1995), complications from Alzheimer's disease"
Badar Munir,68,"Pakistani actor, complications of cardiac arrest"
Barrington J. Bayley,71,"British science fiction author, complications of colorectal cancer"
Ben Weider,85,Canadian bodybuilding promoter and Napoleon scholar
Bernard W. Rogers,87,"American general, Commander of the US European Command (1979–1987)"
Bert Loxley,74,"British footballer and manager, after long illness"
Beth A. Brown,39,"American NASA astrophysicist, pulmonary embolism"
Bill Flagg,79,"British Anglican prelate, Bishop of Peru (1973–1977)"
Bill Martin,65,"American realist painter, complications of lymphoma"
Bill Reilly,70,"American publisher, founder of Primedia, bone and prostate cancer"
Bob Friend,70,"British newscaster, cancer"
Bob Gambold,79,"American football player (Los Angeles Rams, Philadelphia Eagles)"
Bobi Sourander,79,Finnish-born Swedish journalist and author
Bonnie Bluh,82,"American feminist writer, aortic dissection"
Boris Yefimov,109,Russian political cartoonist
Bruce Dal Canton,66,"American baseball player, esophageal cancer"
Buck Adams,52,"American pornographic actor and director, complications from heart failure"
C. V. Sridhar,73,"Indian filmmaker, cardiac arrest"
Charles Dubin,87,"Canadian Chief Justice of Ontario (1990–1996), head of the Dubin Inquiry into drugs in sport, pneumonia"
Charley Fox,88,"Canadian pilot credited with strafing Erwin Rommel's car, car accident"
Chicão,59,Brazilian footballer
Choi Jin-sil,39,"South Korean actress, suicide by hanging"
Chris Bryant,72,British screenwriter and actor
Chris Mims,38,American football player
Christopher Wicking,65,British screenwriter
Chuck Evans,41,"American football player (Minnesota Vikings), heart failure"
Cliff Malone,83,"Canadian ice hockey player (Montreal Canadiens), heart failure"
Cliff Nobles,67,"American pop musician, cancer"
Colm Farrelly,55,"Irish record producer who discovered Sinéad O'Connor and The Pale, after short illness"
Cor Brom,76,"Dutch footballer and coach, Parkinson's disease"
Cozzene,28,"American Thoroughbred racehorse, euthanized"
Craig Fertig,66,"American football player and coach, kidney failure"
Cundo Bermúdez,94,Cuban artist
Dagmar Normet,87,Estonian writer and translator
Dame Daphne Purves,99,New Zealand educator
Daniel Aguillón,24,"Mexican boxer, brain death caused by knockout"
Daniel Awdry,84,"British politician, MP for Chippenham (1962–1979)"
Danny Dill,83,"American songwriter (""Long Black Veil"")"
Daphney Hlomuka,59,"South African actress, kidney cancer"
Dave McKenna,78,"American jazz pianist, lung cancer"
David Akutagawa,71,"Japanese Canadian martial artist, heart attack"
David Evans,73,"British politician, MP (1987–1997), cancer"
David Jeaffreson,76,"British colonial official, Hong Kong Secretary for Security (1982–1988), ICAC Commissioner (1988–1991)"
David Lee,70,Canadian sound engineer
David Lett,69,"American winemaker, heart failure"
David Lloyd Meredith,74,British actor
David Myers,37,"British rugby league player (Widnes and England), car accident"
DeWayne McKinney,47,"American ATM entrepreneur wrongfully convicted of murder, traffic accident"
Dean Barnett,41,"American columnist and blogger, complications from cystic fibrosis"
Dee Dee Warwick,66,"American soul singer, sister of Dionne Warwick, after long illness"
Delfino Borroni,110,Italian last known World War I veteran from Italy
Delmar Watson,82,"American child actor (Mr. Smith Goes to Washington), prostate cancer"
Derek Brewer,85,British mediaevalist
Derek Jones,81,"British colonial official, Hong Kong Secretary for Economic Services (1973–1976), Environment (1976–1981)"
Des Townson,74,"New Zealand yacht designer, cancer"
Detlef Lewe,69,"German canoeist, 1972 Olympic bronze medalist, after brief illness"
Dina Cocea,95,"Romanian actress, heart attack"
Doreen Wilber,78,"American archer, 1972 Olympic gold medallist, Alzheimer's disease"
E. K. Mawlong,62,"Indian politician, Chief Minister of Meghalaya (2000–2001)"
E. Roger Muir,89,"American television producer, stroke"
Ed Levy,91,"American baseball player (Philadelphia Phillies, New York Yankees)"
Eddie Thompson,68,"British businessman, chairman of Dundee United, prostate cancer"
Edie Adams,81,"American actress (Li'l Abner, It's a Mad, Mad, Mad, Mad World, The Apartment), Tony winner (1957), pneumonia and cancer"
Edith Evans Asbury,98,"American journalist (The New York Times), after long illness"
Eduardo Serrano,97,"Venezuelan musician, conductor and composer"
Eduardus Sangsun,65,"Indonesian bishop of Ruteng, heart attack"
Eileen Donaghy,78,"Irish singer, cancer"
Eileen Herlie,90,"British-born American actress (Hamlet, All My Children), complications of pneumonia"
Emil Steinberger,79,"American physician, lung cancer"
Emmanuelle Cinquin,99,"French religious sister, natural causes"
Ere Kokkonen,70,"Finnish film director, after illness"
Eric Nenno,47,"American murderer and sex offender, execution by lethal injection"
Ernest Beutler,80,"American hematologist, lymphoma"
Ernest Kombo,67,"Congolese bishop of Owando, cancer"
Ernst-Paul Hasselbach,42,"Surinamese-born Dutch television producer, car accident"
Es'kia Mphahlele,88,"South African writer and academic, natural causes"
Estelle Reiner,94,American singer and actress (When Harry Met Sally...)
Evelyn Ay Sempier,75,"American beauty pageant winner, Miss America (1954), colorectal cancer"
F. W. Walbank,98,British scholar of Greek history
Fazıl Hüsnü Dağlarca,94,"Turkish poet, chronic renal failure"
Federico Luzzi,28,"Italian tennis player, leukemia"
Frank Nagai,76,Japanese singer
Frank Navetta,46,American guitarist (Descendents)
Frank Rosenthal,79,"American gaming executive, sports handicapper, inspiration for the 1995 film Casino, heart attack"
Françoise Seigner,80,"French comedian and actress, pancreatic cancer"
Fred Baron,61,"American trial lawyer and political fundraiser, multiple myeloma"
