Name,Age,Info
A. K. Hangal,98,"Indian actor, complications from a fall"
Aase Bjerkholt,97,"Norwegian politician and government minister, Minister of Family and Consumer Affairs (1956–1963, 1963–1965)"
Abdul Matin Chowdhury,78,"Bangladeshi politician, old age complications"
Abel Salinas,82,Peruvian politician
Aboud Rogo,44,"Kenyan Islamic cleric, shooting"
Abune Paulos,76,"Ethiopian patriarch of the Ethiopian Orthodox Tewahedo Church, heart attack"
Agnes World,17,"American-bred, Japanese-trained Thoroughbred racehorse and sire"
Akhlakul Hossain Ahmed,85,Bangladeshi physician and politician
Akiva Ehrenfeld,90,Austrian-born Israeli Orthodox Jewish rabbi
Al Conway,82,American football player and official
Al Freeman Jr.,78,"American actor (Malcolm X, My Sweet Charlie, One Life to Live) and professor"
Al Rabin,76,American producer and director (Days of Our Lives)
Alan Bateman,76,"Australian film producer and television screenwriter, cancer"
Alan M. Kriegsman,84,"American dance critic (1976 Pulitzer Prize for Criticism), heart disease"
Alan Steen,90,English footballer (Wolverhampton Wanderers)
Albert (Peto) Nicholas,61,"Cook Islands politician, heart attack"
Albert George Wilson,94,American astronomer
Aldo Maldera,58,Italian footballer (AC Milan)
Aleksander Donner,65,Ukrainian handball coach
Alex Falconer,72,"Scottish politician, MEP for Mid Scotland and Fife (1984–1999)"
Alexander Saxton,93,American novelist and historian
Alfred Schmidt,81,German philosopher
Alistair Bell,82,British judge and politician
Allan Horsfall,84,British gay rights activist
Altamiro Carrilho,87,"Brazilian musician and composer, lung cancer"
Altay Sarsenuly Amanzholov,78,Kazakh Turkologist
Amjad Hameed Khan Dasti,94,Pakistani politician
Amos Hakham,91,"Israeli Bible scholar, first winner of the International Bible Contest (1958)"
Amparo Cuevas,81,Spanish Roman Catholic seer
Ananda Dassanayake,92,Sri Lankan politician
András Domahidy,92,Hungarian-Australian novelist and librarian
András Szennay,91,"Hungarian Roman Catholic prelate, Abbot of the Pannonhalma Archabbey (1973–1991)"
Angkarn Kalayanapong,86,"Thai poet and artist, heart disease and diabetes"
Anna Orso,73,Italian actress
Anna Piaggi,81,Italian fashion writer
Anne McKnight,88,American opera singer
Anthony Mathias Mundadan,88,Indian priest
Antoine Redin,77,French footballer and football manager
Anton Skulberg,90,"Norwegian scientist and politician, MP for Østfold (1969–1972, 1974–1977)"
Arbën Xhaferi,64,"Macedonian politician and Albanian-rights activist, complications from a stroke"
Archie Baxter,90,Australian footballer
Arnie Risen,87,"American Hall of Fame basketball player (Boston Celtics, Rochester Royals), complications from chronic obstructive pulmonary disease (COPD) and lung cancer"
Art Andrew,81,United States Virgin Islands Olympic sailor
Art Heyman,71,"American basketball player (New York Knicks, Philadelphia 76ers)"
Ashok Mehta,65,"Indian cinematographer (Bandit Queen), lung cancer"
Aubrey Dunn Sr.,84,"American politician, member of the New Mexico Senate (1965–1980), cancer"
Aung Shwe Prue Chowdhury,98,Bangladeshi politician
Aurora Bautista,86,Spanish film actress
Aurélio Granada Escudeiro,92,"Portuguese Roman Catholic prelate, Bishop of Angra (1979–1996), pneumonia"
Axel Edelstam,88,Swedish diplomat
Azizul Haque,93,Bangladeshi Islamic scholar and politician
Barbara Kimenye,82,British-born Ugandan children's author
Barry Trapnell,88,English cricketer and headmaster
Benjamin W. Heineman,98,American railroad executive
Bernardo Bonezzi,48,Spanish film music composer
Bernd Meier,40,"German footballer, heart attack"
Bernie Anderson,71,Australian footballer
Beverly Bender,94,American sculptor
Beverly Milton Dyck,78,"Canadian politician, progressive supranuclear palsy"
Bhadriraju Krishnamurti,84,Indian linguist
Biff Elliot,89,"American actor (Alfred Hitchcock Presents, I, the Jury, The Enemy Below)"
Bill Kini,75,"New Zealand boxer and rugby player, cancer"
Bill Rafferty,68,"American comedian and television host (Blockbusters, Card Sharks, Real People), heart failure"
Billy Bootle,86,English footballer
Billy Kerr,67,Irish Olympic cyclist
Bob Birch,56,"American musician (Elton John), apparent suicide by gunshot"
Bob Myrick,59,"American baseball player (New York Mets), heart attack"
Boris Razinsky,79,Russian football player
Brian Crozier,94,British author and journalist
Brian Green,77,British football coach and player
Brian Oakley,84,British civil servant and scientist
Bud Chamberlain,92,American baseball player and realtor
Bud Goodall,59,"American scholar and writer, pancreatic cancer.[circular reference]"
Bud Riley,86,"American CFL coach (Winnipeg Blue Bombers, Hamilton Tiger-cats)"
