Name,Age,Info
Abdesslam Yassine,84,"Moroccan political figure, complications of influenza"
Abdul Ghafoor Ahmed,85,Pakistani politician and educator
Abe Deutschendorf,77,"American politician, member of the Oklahoma House of Representatives (1994–2006)"
Abu-Zaid al Kuwaiti,46,"Kuwaiti al-Qaeda leader, drone strike"
Adam Ndlovu,42,"Zimbabwean footballer, traffic collision"
Ahmed Taib El Alj,84,Moroccan writer
Alan Colquhoun,91,"English architect, historian, critic and teacher"
Alan Cowey,77,British biochemist
Alan Reece,85,British engineer and businessman
Alasdair Liddell,63,British health executive
Albert Elias,41,American sports agent
Albert O. Hirschman,97,German-born American economist
Albert Renaud,92,Canadian ice hockey player
Albert Riederer,67,"American judge and civic leader, Missouri Court of Appeals (1997–1999), cancer"
Aleksandra Akimova,90,Russian pilot
Alex Moulton,92,British engineer and inventor (Moulton Bicycle)
Alexander Leaf,92,American physician and research scientist
Alfred Delcourt,83,Belgian football referee
Alfredo Abon Lee,85,Cuban military officer
Alice Harden,64,"American politician, Mississippi State Senator (since 1988)"
Alida Chelli,69,"Italian actress, cancer"
Allah Bachayo Khoso,77,Pakistani artist and Alghoza player
Ambrose Madtha,57,"Indian Roman Catholic prelate, Titular Archbishop of Naissus, Apostolic Nuncio to Côte d'Ivoire (since 2008), traffic collision"
Amir Mahmud Anvar,67,Iranian literary academic and poet
Ammar El Sherei,64,"Egyptian musical composer and performer, heart ailment"
Amnon Lipkin-Shahak,68,"Israeli lieutenant general, Chief of Staff (1995–1998) and politician, Minister of Transportation and Tourism, cancer"
Anand Abhyankar,48,"Indian actor, traffic collision"
Anat Gov,58,"Israeli playwright and screenwriter, colorectal cancer"
Andreu Alfaro,83,Spanish sculptor
Andreu Vivó,34,"Spanish artistic gymnast, competed at the 2000 Summer Olympics, heart attack while mountain climbing"
Andrzej Dłużniewski,73,Polish sculptor
André Nelis,77,"Belgian Olympic silver (1956) and bronze (1960) medal-winning sailor, cancer"
Angélica M. Arambarri,67,Argentine botanist and mycologist
Anna Czóbel,94,Hungarian cinematographer
Annapurna Maharana,95,Indian revolutionary figure and women's rights activist
Anton Geiser,88,Yugoslav-born Nazi concentration camp guard
Antonie Hegerlíková,89,"Czech actress, Thalia Award winner (2004)"
Antonio Cubillo,82,"Spanish politician, founder of Canary Islands Independence Movement"
Archie Roy,88,"Scottish astronomer and paranormal expert, pneumonia"
Arend Langenberg,63,"Dutch voice-over and radio presenter, rectal cancer"
Arkady Vorobyov,88,"Soviet weightlifter, Olympic champion under-90 kg (1956, 1960)"
Arman Manukyan,81,"Turkish economist and writer, heart disease"
Armand Van De Kerkhove,97,Belgian footballer
Armando Costa,63,Canadian soccer coach and player
Arnaldo Mesa,45,"Cuban Olympic silver medal-winning (1996) boxer, stroke"
Arnold C. Cooper,79,American academic
Arnold Dean,82,American radio sports host and personality
Arnór Hannibalsson,78,Icelandic philosopher and professor
Art Larsen,87,American tennis player
Arthur Chaskalson,81,"South African judge, Chief Justice (2001–2005), leukaemia"
Arthur Quinlan,92,Irish journalist (The Irish Times)
Ashwini Bhatt,76,Indian novelist
Augustin Sagna,92,"Senegalese Roman Catholic prelate, Bishop of Ziguinchor (1966–1995)"
Augusto Bracca,94,"Venezuelan songwriter, respiratory arrest"
Avraham Mor,77,"Israeli actor and voice actor, cancer"
Avrelija Cencič,48,Slovenian university professor
Axel Anderson,83,German-born Puerto Rican actor
Azumir Veríssimo,77,Brazilian footballer
B. B. Nimbalkar,92,Indian cricketer
Balthazar Bigirimana,54,Burundian politician and diplomat
Barbara Alby,66,"American politician, member of the California State Assembly (1993–1998)"
Barbara Lett-Simmons,85,American politician
Barrie Edgar,93,"English producer (Come Dancing, Gardeners' World), pneumonia"
Barry Altman,63,"American businessman, cancer"
Bashir Ahmad Bilour,69,"Pakistani politician, bombing"
Basil Robinson,93,English-born Canadian cricketer
Beate Sirota Gordon,89,"Austrian-born American performing arts producer and women's rights advocate, drafted the Constitution of Japan"
Beatriz da Costa,38,"German artist, cancer"
Ben Luján,77,"American politician, member of the New Mexico House of Representatives (since 1975), Speaker (since 2001), lung cancer"
Ben Overton,86,"American judge, Supreme Court of Florida (1974–1999), complications following heart surgery"
Benny McLaughlin,84,American footballer
Bernie Baxter,83,Australian rules football player
Besse Cooper,116,"American supercentenarian, world's oldest person"
Bessie Moody-Lawrence,71,"American politician, member of the South Carolina House of Representatives (1993–2007), brain cancer"
Beth Finch,91,"American politician, first female Mayor of Fayetteville, North Carolina (1975–1981)"
Bhim Bahadur Tamang,78,"Nepali politician, stroke"
Bill Bell,100,British army officer and lawyer
Bill Donckers,61,"American football player, lymphoma"
Bill McBride,67,"American politician, Democratic Party nominee for Governor of Florida (2002), heart attack"
Bill Prest,86,"Australian politician, Queensland MLA for Port Curtis (1976–1992)"
Bim Diederich,90,Luxembourgish road bicycle racer
Birdsall S. Viault,80,American academic
Biswajit Das,24,"Bangladeshi tailor, murdered"
Bob Armstrong,64,"Australian policeman, cancer"
Bob Astles,88,British-born Ugandan government adviser of Milton Obote and Idi Amin
Bob Johnston,83,Australian rules footballer (Melbourne)
Bob Munden,70,"American entertainer, heart failure"
Bob Odell,90,"American football player, kidney disease"
Bobby Jack Oliver,76,American football player
Bogdan Baltazar,73,"Romanian banker, press secretary for Prime Minister Petre Roman, cancer"
Bolesław Proch,60,"Polish speedway rider, heart attack"
Boyd Bartley,92,American baseball player (Brooklyn Dodgers)
Brad Corbett,75,"American baseball owner (Texas Rangers, 1974–1980)"
Branislav Milinković,52,"Serbian diplomat, ambassador to NATO and Austria, suicide by jumping"
Brian Sampson,71,Australian rules football player
Bruce Stark,79,"American cartoonist (New York Daily News), emphysema"
Bud Alper,82,"American sound engineer (Blade Runner, Rocky, The Crow)"
Burdette Solum,85,"American politician, member of the South Dakota House of Representatives (1991–1992, 1998–2004)"
Béla Csécsei,60,"Hungarian politician, Mayor of Józsefváros (1993–2009)"
Béla Nagy Abodi,94,Hungarian painter
C. Louis Kincannon,72,"American bureaucrat, Director of the U.S. Census Bureau (2002–2008), cancer"
Camil Samson,77,"Canadian politician, MNA for Rouyn-Noranda (1970–1981)"
Capital Steez,19,"American rapper, suicide by jumping"
Carl Woese,84,"American biologist, winner of Leeuwenhoek Medal (1992), National Medal of Science (2000), complications from pancreatic cancer"
Carlomagno Meneses,85,Peruvian Olympic boxer
