Name,Age,Info
Abdelkader Fréha,69,Algerian footballer (MC Oran)
Abdul Haq Ansari,81,"Indian Islamic scholar, cardiac arrest"
Ahmad Ghabel,58,"Iranian religious scholar and political dissident, brain tumor"
Al Ghesquiere,93,American football player
Alan Kirschenbaum,51,"American television writer and producer (Coach, My Name Is Earl, Raising Hope), suicide"
Alan Shaxon,78,British magician
Alan Stretton,90,"Australian major general, disaster recovery leader (Cyclone Tracy) and AFL player (St. Kilda), haemorrhage"
Albano Harguindeguy,85,Argentine general
Albert Lee Ueltschi,95,"American aviation trainer, founder of FlightSafety International"
Albert von Sachsen,77,German noble and historian
Alberto Reif,66,Italian footballer
Albie Roles,91,English footballer
Aleksandr Koshkin,53,"Russian Soviet-era Olympic silver medal-winning (1980) boxer, stroke"
Alex Karras,77,"American football player (Detroit Lions) and actor (Blazing Saddles, Webster), kidney failure"
Alexander Kibrik,73,Russian linguist (Moscow State University)
Alexander Lapin,67,Russian photographer
Alf Kumalo,82,"South African photographer, suspected kidney failure"
Alfons Demming,84,"German Roman Catholic prelate, Auxiliary Bishop of Münster (1976–1998)"
Alfonso Orueta,82,Chilean politician and football manager
Alfred Schakron,51,"Lebanese-born Belizean businessman, shot"
Amanda Todd,15,"Canadian high school student and cyberbullying victim, suicide by hanging"
Amrita Chaudhry,40,"Indian journalist, road accident"
Anant Dave,74,"Indian politician, cancer"
Anatoly Betekhtin,81,Russian military commander
Andrew Brimmer,86,"American economist, Federal Reserve Board of Governors (1966–1974)"
Andrey Gonchar,80,Soviet and Russian mathematician
André Saint-Mleux,92,"Monegasque politician, Minister of State (1972–1981)"
Angelo Maria Cicolani,60,"Italian politician, Senator for Rieti (since 2001)"
Anita Björk,89,Swedish actress
Anthony John Cooke,80,English organist
Antoni Dobrowolski,108,"Polish Holocaust survivor, oldest known Auschwitz survivor"
Antonio Cisneros,69,"Peruvian poet, lung cancer"
Arjen Arî,55,Kurdish poet and writer
Arlen Specter,82,"American politician, U.S. Senator from Pennsylvania (1981–2011), complications of non-Hodgkin lymphoma"
Armand Russell,91,"Canadian politician, MNA for Shefford (1956–1973) and Brome-Missisquoi (1976–1980); Minister of Public Works (1967–1970)"
Arnold Greenberg,80,"American businessman, co-founder of Snapple, cancer"
Arthur Jensen,89,"American psychologist, educator and author, Parkinson's disease"
Aude,65,"Canadian writer, leukemia"
Aung Gyi,93,"Burmese politician, cardiac arrest"
Avraham Abutbul,51,"Israeli actor, singer and musician (Ushpizin), brain tumor"
Avrohom Genachowsky,76,"Israeli rabbi, pancreatic cancer"
Axel Borup-Jørgensen,87,Danish composer
B. Satya Narayan Reddy,86,"Indian politician, Governor of Uttar Pradesh (1990–1993) and Orissa (1993–1995), lung disease"
Balu Alaganan,87,Indian cricketer
Balázs Győrffy,74,Hungarian-born American physicist
Bandya Kakade,67,"Indian footballer, heart attack"
Barbara Sowers,80,American baseball player
Barouh Berkovits,86,Czech-born American bioengineer
Barry Laight,92,British aerospace engineer
Basil L. Plumley,92,"American Army command sergeant major, cancer"
Basilios Blatsos,89,"Greek-born Israeli Orthodox hierarch, Metropolitan of Caesarea (since 1975)"
Beano Cook,81,American college football historian and television sports analyst (ESPN)
Berkant,73,"Turkish singer, cancer"
Bernard Chaet,88,American artist
Bernard Holden,104,British railway preservationist (Bluebell Railway)
Bernard John Smith,61,British geologist
Bertie Marshall,76,Trinidadian musician and steelpan maker
Bertil Bäckvall,89,Swedish footballer and football manager
Betty Binns Fletcher,89,American federal judge (9th Circuit Court of Appeals)
Bidit Lal Das,74,Bangladeshi folk singer
Bidushi Dash Barde,23,"Indian actress and model, bleeding from lacerations. (body discovered on this date)"
Big Jim Sullivan,71,"British guitarist, complications of heart disease and diabetes"
Bill Dees,73,"American musician and songwriter (""Oh, Pretty Woman"", ""It's Over""), brain tumor"
Bill Drake,81,British rugby league player
Bill Ezinicki,88,"Canadian ice hockey player (Toronto Maple Leafs, Boston Bruins)"
Bill Gardner,83,Australian rugby player
Bill Tom,89,American Olympic gymnast
Bill White,51,American animator
Billy Hullin,70,Welsh rugby union player
Björn Sieber,23,"Austrian alpine skier, traffic collision"
Bob Aynsley,90,New Zealand rugby league player
Bob Brooks,84,American film director and advertising creative. (death announced on this day)
Bob Brunner,78,"American television writer and producer (Diff'rent Strokes, Happy Days, The Odd Couple), heart attack"
Bob Martin,87,American Olympic rower
Boo Morcom,91,American Olympic athlete
Borah Bergman,85,"American free jazz pianist, dementia"
Brain Damage,34,"American professional wrestler, suicide"
Branko Črnac Tusta,57,"Croatian singer, throat cancer"
Brenda Agard,51,"British photographer, poet and storyteller"
Brian Cobby,83,"British actor, voice of the speaking clock (1985–2007)"
Britton Chance Jr.,72,"American yacht designer, complications of a stroke"
Budd Lynch,95,Canadian-born American public address announcer (Detroit Red Wings)
Buster Pearson,71,"Jamaican musician, father and manager of Five Star"
Bódog Török,88,"Hungarian handball player, coach and sports official, complications of surgery"
Břetislav Pojar,89,Czech animator and film director
Carl-Wilhelm Engdahl,86,Swedish fencer
Carla Porta Musa,110,"Italian essayist, poet, and supercentenarian, pneumonia"
Carlos Azevedo,63,Portuguese composer and pianist
Carolyn Conwell,82,"American actress (Torn Curtain, The Young and the Restless)"
Cesare Canevari,85,"Italian actor, director and screenwriter (Matalo!, A Man for Emmanuelle)"
Chacha Pakistani,90,Pakistani nationalist
Chadli Bendjedid,83,"Algerian politician, President of Algeria (1979–1992), cancer"
Champ Summers,66,"American baseball player (Cincinnati Reds, Detroit Tigers), kidney cancer"
Charles E. Fritch,85,American writer and editor
Charles Roach,79,"Trinidadian-born Canadian civil rights lawyer, brain cancer"
Christina Persighetti,76,British Olympic athlete
Christopher Allen,68,"English cricket player (Dorset), bowel cancer"
Chuckie Merlino,73,American mobster (Philadelphia crime family)
Claire Dan,92,"Australian philanthropist, Founder and Life President of the Sydney International Piano Competition"
Clarence Mitchell III,72,"American politician, Maryland Senate (1967–1986) and House member (1963–1967), cancer"
Claude Cheysson,92,"French politician, Minister of Foreign Affairs (1981–1984)"
Claude Pinoteau,87,"French film director (La Boum), cancer"
Clive Emmanuel,64,British academic
Copiad,23,Swedish breeding stallion and racing trotter
Cordelia Edvardson,83,Swedish journalist and Holocaust survivor
Corrado Lojacono,88,"Italian singer (""Carina"") and actor (Howlers in the Dock), kidney failure"
Dal Dozzi,75,Australian football player
Dan Tieman,71,"American basketball player (Cincinnati Royals), cancer"
Daniel Enele Kwanairara,65,"Solomon Islands politician, MP for North Malaita (1997–2001, 2004–2010), Minister for Agriculture and Livestock (2005–2006)"
Daphne Skillern,84,British police officer
Daphne Slater,84,English actress
Dave May,68,"American baseball player (Atlanta Braves, Milwaukee Brewers, Baltimore Orioles), complications from cancer and diabetes"
David Atkinson,90,Canadian opera singer
David N. Martin,82,"American advertising executive, founder of The Martin Agency, creator of the Virginia is for Lovers slogan, cancer"
David S. Ware,62,"American jazz saxophonist, complications of a kidney transplant"
David Trosch,76,"American Roman Catholic priest, advocate of justifiable homicide for murderers of abortion providers, after long illness"
Deborah Chessler,88,American songwriter
Dessie Kane,60,Irish cricketer
Dick de Fegely,84,"Australian politician, member of the Victorian Legislative Council (1985–1999)"
Dilbagh Singh Kler,76,Malaysian Olympic athlete
Dimitris Beis,84,"Greek politician, Mayor of Athens (1979–1986), cancer"
Dirk Bach,51,"German actor, comedian and television presenter, heart failure"
Dmitry Gayev,61,"Russian civil servant, head of Moscow Metro, cancer"
Dody Weston Thompson,89,American photographer
Don W. East,67,American politician
Donald E. Bently,87,American entrepreneur and engineer
Donald Takayama,68,"American surfer, member of the International Surfing Hall of Fame (1991), complications from heart surgery"
Donnis Butcher,76,"American basketball player and coach (New York Knicks, Detroit Pistons)"
E. Donnall Thomas,92,"American physician, Nobel laureate in Physiology or Medicine (1990), heart disease"
E. K. Fretwell,88,American teacher and university administrator
Eddie Harvey,86,British jazz musician
Eddie Russo,86,American race car driver
Eddie Yost,86,"American baseball player and coach (Washington Senators), cardiovascular disease"
Eduard Volodarsky,71,"Russian scriptwriter (At Home Among Strangers, My Friend Ivan Lapshin)"
Eduardo Herrera Riera,85,"Venezuelan Roman Catholic prelate, Bishop of Carora (1994–2003), cancer"
Edvard Mirzoyan,91,Georgian-born Armenian composer
Edward Kossoy,99,"Polish lawyer, publicist and activist for victims of Nazism"
Elizabeth Bell,71,"English actress, oesophageal cancer"
Elizabeth Watkins,89,"English author, short illness"
Elo Romančík,89,"Slovak actor, cardiac failure"
Eloy Gutiérrez Menoyo,77,"Spanish-born Cuban dissident (Alpha 66), heart attack"
Emanuel Steward,68,"American Hall of Fame boxing trainer and HBO boxing commentator, complications of diverticulitis"
Enrico di Robilant,87,Italian philosopher
Erhard Wunderlich,55,"German Olympic silver medal-winning (1984) handball player, cancer"
Eric Hobsbawm,95,British historian
Eric Lomax,93,Scottish author
Erich Masurat,85,German Olympic sports shooter
Erik Moseholm,82,Danish jazz musician
Ernst Lindner,77,German international footballer
Erol Günaydın,79,"Turkish actor, heart failure"
Ervin Kassai,87,Hungarian Olympic and international basketball referee
Erwin Steinberg,91,American academic
Ethel Person,77,American psychiatrist and psychoanalyst
Eusebius Politylo,84,"Ukrainian Orthodox hierarch, Metropolitan of Rivne and Ostroh (2005–2012)"
Faustino Sainz Muñoz,75,"Spanish Roman Catholic prelate, Apostolic Nuncio to Great Britain (2004–2010), cancer"
Federico A. Cordero,84,Puerto Rican classical guitarist
Felix Eugenio Mkhori,81,"Malawian Roman Catholic prelate, Bishop of Chikwawa (1979–2001) and Lilongwe (2001–2007)"
Fergie Sutherland,81,British–born Irish horse trainer
Fernando Ortíz,89,Mexican Olympic sailor
Fiorenzo Magni,91,"Italian racing cyclist, Giro d'Italia winner (1948, 1951, 1955), aneurysm"
Florence Akins,106,New Zealand artist
Franck Biancheri,51,"French politician, cancer"
Frank Alamo,70,"French singer, amyotrophic lateral sclerosis"
Frank Moore Cross,91,American biblical scholar
Frank Sando,81,British Olympic cross-country runner
Frank Weddig,67,"American politician, Colorado Senate (1994–2000) and House of Representatives (2000–2004)"
François Arnal,88,French painter and sculptor
Frederick C. Blesse,91,American general
Gabrielle Roth,71,"American dancer and musician, lung cancer"
Gae Aulenti,84,Italian architect and designer
Gaetano Tumiati,94,"Italian novelist and journalist, won 1976 Premio Campiello"
Gart Westerhout,85,Dutch-born American astronomer
Gary Collins,74,"American actor (The Sixth Sense, The Wackiest Ship in the Army) and television host (Miss America), natural causes"
Geoff Beynon,86,British trade union leader
George Bossy,85,Canadian Olympic sprint canoer and football player
George D. Buffett,83,American politician
George Dessart,87,American television producer and executive
George G. Crawford,92,American judge and politician
George Mattos,83,"American Olympic (1952, 1956) pole vaulter, prostate cancer"
George McGovern,90,"American politician and USAAF pilot, U.S. Representative (1957–1961) and Senator (1963–1981), 1972 Democratic Party presidential nominee"
George Paciullo,78,Australian politician
