Name,Age,Info
Abdul Ghafoor,70,Pakistani footballer
Abdul Ghani Minhat,76,"Malaysian footballer, complications following surgery"
Abdul Haq Baloch,34,"Pakistani journalist, shot"
Abdul Rahim Malhas,75,"Jordanian politician, Health Minister (1993–1994), member of the House of Representatives (2003–2007)"
Aditya Dev,23,"Indian bodybuilder, ruptured brain aneurysm"
Adnan Farhan Abd Al Latif,30,Yemeni detainee (Guantánamo Bay)
Adolf Bechtold,86,German footballer (Eintracht Frankfurt)
Adolf Bierbrauer,97,"German artist, painter and sculptor"
Ahmed Ramzy,82,"Egyptian actor (Sira` Fi al-Mina, Thartharah Fawq al-Nil), injuries from a fall"
Alan Cleveley,88,English cricketer
Alan Kimber,63,"English swimmer, cancer"
Alan Neville Gent,84,English scientist
Albert Henry Ottenweller,96,"American Roman Catholic prelate, Bishop of Steubenville (1977–1992)"
Albert Marre,87,"American stage actor, director and producer, widower of soprano Joan Diener, following a long illness"
Alberto González,84,Cuban humorist and iconoclast
Aleksandr Belyavsky,80,Russian actor
Aleksandr Gorelik,67,Russian pair skater and figure skating commentator
Aleksandr Maksimenkov,60,Russian football coach and player
Alfred Henningsen,94,Norwegian military officer and politician
Alfredo Machado,59,Brazilian Olympic swimmer
Allyre Sirois,89,Canadian jurist
Alonso Lujambio,50,"Mexican politician, Secretary of Public Education (2009–2012), multiple myeloma"
Alphonse Nzoungou,74,Congolese politician
Anatoli Fedorov,76,Soviet and Russian rower and rowing coach
András Szente,72,"Hungarian sprint canoer, Olympic dual silver medalist (1960)"
André Delelis,88,"French politician, MP for Pas-de-Calais (1983–1992)"
André Giamarchi,81,French footballer
André Kempinaire,83,Belgian politician
Andy Williams,84,"American singer (""Moon River"") and entertainer, bladder cancer"
Anil Bordia,78,"Indian educationist, social activist and civil servant, cardiac arrest"
Anna-Lisa Augustsson,87,Swedish sprinter
Annemarie Davidson,91,German-born American artist
Antônio Maria Mucciolo,89,"Italian-born Brazilian Roman Catholic prelate, Archbishop of Botucatu (1989–2000), multiple organ failure"
Arkadii Dragomoshchenko,66,Russian poet
Arleen Day,63,Canadian curler
Arnaldo Putzu,85,Italian film poster artist
Art Modell,87,"American businessman, owner of the Baltimore Ravens (1996–2004), heart failure"
Arthur Magugu,78,"Kenyan politician, Minister for Finance (1982–1988), MP for Githunguri (1969–1988, 2002–2007)"
Arthur Ochs Sulzberger,86,American publisher (The New York Times)
Arturo Rodenak,81,"Argentine-born Chilean footballer, complications of diabetes"
Ashwini,45,"Indian actress, liver illness"
Audrey Deemer,81,American baseball player
Audrie Pott,15,"American cyberbullying victim, suicide by hanging.[citation needed]"
Autran Dourado,86,"Brazilian writer, stomach bleeding"
Avraham Adan,85,"Israeli major general, cardiac arrest"
Avraham Avigdorov,83,"Israeli soldier, Hero of Israel recipient"
Badal Das,47,"Bangladeshi footballer, cardiac arrest"
Bafo Biyela,31,"South African footballer, after short illness"
Barbara Ann Scott,84,"Canadian figure skater, Olympic gold medalist (1948)"
Barry Commoner,95,"American biologist and politician, founder of the Citizen's Party, 1980 presidential nominee"
Behnam Abu Alsoof,80,"Iraqi archaeologist, anthropologist, historian and writer, heart attack"
Bennie L. Davis,94,"American general (Strategic Air Command, 1981–1985)"
Bert Worner,82,Australian football player (Geelong)
Bertil Norström,88,Swedish actor
