Name,Age,Info
Abdoulaye Sékou Sow,83,"Malian politician, Prime Minister (1993–1994)"
Abigail Heyman,70,"American feminist journalist, heart failure"
Abir Goswami,37,"Indian television actor, heart attack"
Al Fritz,88,"American bicycle developer and inventor (Schwinn Sting-Ray), complications from a stroke"
Al-Haj Suliman Yari,76,Afghan politician
Alan Abelson,87,"American financial writer, editor and columnist (Barron's), heart attack"
Alan Arnell,79,English footballer (Liverpool)
Alan O'Day,72,"American singer-songwriter (""Undercover Angel"", ""Angie Baby""), brain cancer"
Albert Lance,87,Australian-born French opera singer
Albert Seedman,94,American police officer
Aleksei Balabanov,54,"Russian filmmaker, seizure"
Aleksey Komarov,91,Russian Olympic rower (1952)
Alexey Dobrovolsky,74,Russian ideologue of neo-paganism
Alfredo Landa,80,"Spanish actor, Alzheimer's disease"
Allen McKay,86,"British politician, MP for Penistone (1978–1983) and Barnsley West and Penistone (1983–1992)"
Ally Sykes,86,Tanzanian politician
Alton Lemon,84,"American civil rights activist, Alzheimer's disease"
Anand Shetty,52,"Indian sprinter, car accident"
Anders Eliasson,66,Swedish composer
Andrea Gallo,84,Italian presbyter
Andrew Greeley,85,"American Roman Catholic priest, author (The Cardinal Sins) and columnist (Chicago Sun-Times), complications from skull fracture"
Andrew Simpson,36,"British Olympic champion sailor (2008, 2012), catamaran capsize"
Andrzej Nowak,57,Polish ice hockey player
André Bord,90,"French politician, Veterans Minister (1972–1974), President of the Alsace Regional Council (1973–1977)"
André Denys,65,"Belgian politician, Governor of East Flanders (2004–2013)"
André Sana,92,"Iraqi Chaldean Catholic hierarch, Archbishop of Kirkuk (1977–2003)"
Angelo Errichetti,84,"American politician, Mayor of Camden, New Jersey (1973–1981); member of the New Jersey Senate (1976–1981)"
Anne-Lise Stern,91,French psychoanalyst and Holocaust survivor
Anthony Trickett,73,"British doctor, Lord Lieutenant of Orkney (since 2007)"
Antoine Bourseiller,82,French comedian and opera director
Antonio Puchades,87,"Spanish footballer (Valencia CF), Alzheimer's disease"
Antônio da Silva Terezo,59,Brazilian Olympic footballer
Ari Huumonen,57,Finnish discus thrower
Arnaldo Ninchi,77,"Italian actor, voice actor and basketball player"
Arnold Peters,87,"British actor (The Archers), complications from Alzheimer's disease"
Arnoldo Martínez Verdugo,88,Mexican politician
Arquímedes Herrera,77,Venezuelan Olympic track and field athlete (1964)
Arsen Chilingaryan,47,Armenian football player and manager
Arthur Malet,85,"English actor (Mary Poppins, Halloween, In the Heat of the Night, Anastasia)"
Asaph Schwapp,26,"American football player (Hartford Colonials), non-Hodgkin's lymphoma"
Asghar Ali Engineer,74,Indian writer and activist
Aubrey Woods,85,"British actor (Doctor Who, Willy Wonka and the Chocolate Factory)"
Balbino Jaramillo,61,Colombian Olympic cyclist
Barbara Brenner,61,"American health activist, executive director of Breast Cancer Action (1993–2010), amyotrophic lateral sclerosis"
Barbara Callcott,66,"Australian actress, cancer"
Bella Flores,84,"Filipino actress, complications from hip surgery"
Bernard Waber,88,"American children's author (Lyle, Lyle, Crocodile), kidney failure"
Beverley Taylor Sorenson,89,American education philanthropist
Bill Austin,84,"American football player (New York Giants), coach (Pittsburgh Steelers, Washington Redskins)"
Bill Miles,82,American documentary filmmaker
Bill O'Hagan,68,British journalist and sausage maker
Bill Orr,78,"American insurance executive, First Gentleman of Nebraska (1987–1991), COPD"
Bill Pertwee,86,"British radio and television actor (Dad's Army, You Rang, M'Lord?) and author"
Billie Dawe,88,Canadian ice hockey player
Billie Sol Estes,88,American businessman and convicted con man
Billy Raymond,75,"Scottish-born Australian entertainer, lung cancer"
Bob Rafkin,69,"American singer songwriter, cancer"
Bob Thompson,88,American composer and orchestra leader
Bobbie Banda,66,"American Juaneño elder and activist, stroke"
Boicho Kokinov,52,Bulgarian cognitive scientist
Bonnie Huy,77,"American politician, member of the Kansas House of Representatives (2001–2006)"
Boris Elik,83,Canadian ice hockey player (Detroit Red Wings)
Brad Drewett,54,"Australian tennis player and administrator, ATP Executive Chairman (2012–2013), motor neurone disease"
Branko Vukelić,55,"Croatian politician, Minister of Defence (2008–2010), pancreatic cancer"
Brian Greenhoff,60,English footballer (Manchester United)
Brian Sternberg,69,"American pole vaulter, quadriplegic complications"
Brigitte Kiesler,88,German Olympic gymnast
Brita Malmer,87,Swedish numismatist
Bruno Chersicla,75,Italian painter and sculptor
Bryan Forbes,86,"British actor (The League of Gentlemen), film director (The Stepford Wives) and screenwriter (Chaplin)"
Bryan Illerbrun,56,Canadian football player (Saskatchewan Roughriders).[unreliable source?]
Caesar Trunzo,87,"American politician, member of the New York Senate (1972–2008)"
Carl Bennett,97,"American basketball executive, coach and GM of Detroit Pistons"
Carlo Monni,69,Italian character actor.[citation needed]
Cedric Brooks,70,"Jamaican musician (The Skatalites), cardiac arrest"
Charles Banks Wilson,94,American artist
Charles M. McGowan,89,"American politician, member of the Massachusetts House of Representatives (1968–1978)"
Charley Reese,76,"American newspaper columnist, respiratory failure"
Chob Yodkaew,78,"Thai economist and politician, stroke"
Christian de Duve,95,"Belgian cytologist and biochemist, Nobel Prize laureate (1974), euthanasia"
Chuck Muncie,60,"American football player (New Orleans Saints, San Diego Chargers), heart attack"
Claramae Turner,92,"American opera singer (Carousel, The Medium)"
Cliff Meely,65,"American basketball player (University of Colorado, Houston Rockets), blood infection"
Colin A. Russell,84,British historian
Constantino Romero,65,"Spanish voice actor, television and radio host, motor neuron disease"
Cot Deal,90,"American baseball player (Boston Red Sox, St. Louis Cardinals)"
Count Christian of Rosenborg,70,Danish royal.[citation needed]
Cullen Finnerty,30,"American football player, pneumonia (Grand Valley State University)"
Curtis Rouse,52,"American football player (Minnesota Vikings, San Diego Chargers)"
César Portillo de la Luz,90,Cuban Filin composer and interpreter
Daisy Avellana,96,"Filipino stage actor and director, National Artist of the Philippines for Theater and Film"
Dallas Willard,77,"American author and philosopher, cancer.[unreliable source?]"
Dame Margaret Shields,71,"New Zealand politician, MP for Kapiti (1981–1990), dementia and Parkinson's disease"
Dan Adkins,76,"American comic book artist (The Avengers, Doctor Strange, X-Men)"
Daniel Offer,83,American psychiatrist
Daniel W. LeBlanc,82,"American judge, member of Louisiana Court of Appeals, cancer"
Danny Ray Mitchell,69,"American pastor, businessman and politician"
Darrell Tryon,70,"New Zealand linguistics professor and Pacific Islands language specialist, melanoma"
Dave Costa,71,"American football player (Oakland Raiders, Denver Broncos)"
Dave Everett,51,"Australian criminal, cancer"
Dave Lyon,74,"Canadian Olympic track and field coach (1984, 1988, 1992, 2000)"
David McMillan,31,"American football player (Cleveland Browns), shot"
David Morris Kern,103,"American pharmacist, developed Orajel to fight toothaches"
David Noriega Rodríguez,68,"Puerto Rican politician and lawyer, member of the House of Representatives (1984–1996), pancreatic cancer"
Dean Brooks,96,American physician and actor (One Flew Over the Cuckoo's Nest)
Dean Jeffries,80,"American car customizer, painter and stuntman (The Fugitive, Fletch)"
Derrick Thomas,69,"British agricultural researcher, cancer"
Dick Barry,87,"American politician, member of the Tennessee House of Representatives (1954–1967), Speaker (1963–1967)"
Dick Evey,72,"American football player (Chicago Bears, University of Tennessee)"
Dick Trickle,71,"American NASCAR driver, suicide by gunshot"
Dirk Vekeman,52,Belgian footballer (RSC Anderlecht)
Dominic Kodwo Andoh,84,"Ghanaian Roman Catholic prelate, Archbishop of Accra (1971–2005), heart-related ailment"
Dominik Sucheński,86,Polish Olympic sprinter
Dominique Venner,78,"French historian, journalist and essayist, suicide by gunshot"
Don Tonry,77,American Olympic gymnast
Donald Bevan,93,American author
Doug Beasy,83,Australian football player (Carlton)
Doug Finley,66,"Canadian politician,  Senator for Ontario (since 2009), Campaign Director during the 2006 and 2008 elections, colorectal cancer"
Dvora Omer,80,"Israeli author, recipient of the Israel Prize (2006)"
Ed Kringstad,76,"American politician, member of the North Dakota Senate (1995–2006)"
Ed Shaughnessy,84,"American drummer (The Tonight Show Starring Johnny Carson), heart attack"
Eddi Arent,88,German actor
Eddie Braben,82,"British comedy writer (Morecambe and Wise, Ken Dodd)"
Eddie Romero,88,"Filipino film director, blood clot and prostate cancer"
Edna Moyle,71,"Caymanian politician, MLA for North Side (1992–2009), Speaker (2001–2009), cancer"
Eelco van Asperen,48,Dutch computer scientist
Elbert Crawford,46,"American football offensive lineman, heart attack"
Elijah Harper,64,"Canadian Cree politician and band chief, Manitoba MLA for Rupertsland (1981–1992), MP for Churchill (1993–1997), heart failure"
Elizabeth Mavor,85,British writer
Elliot del Borgo,74,American composer
Elsa Bornemann,61,Argentine children's writer
Elvin Feltner,83,American broadcaster and film producer (Carnival Magic)
Emmanuelle Claret,44,"French biathlete, world champion (1996), leukemia"
Enio Iommi,87,Argentinian sculptor
Epy Guerrero,71,"Dominican Major League Baseball scout (Houston Astros, New York Yankees, Toronto Blue Jays), kidney failure"
Erling Welle-Strand,96,Norwegian writer and resistance member
Ernie Field,70,"English boxer, cancer"
Ernie Winchester,68,Scottish footballer
Ernst Klee,71,German historian and writer
Esperanza Magaz,91,"Cuban-born Venezuelan television actress (RCTV), cancer"
Eugene Millerick,88,"American politician, member of the Connecticut House of Representatives (1986–1994)"
Evelyne Bradley,88,"American Navajo judge, District Court judge (1984–1995)"
Fatima Grimm,78,"German translator, author and speaker"
Ferruccio Mazzola,65,Italian football player and manager
Fiona Gore,94,Scottish powerboating racer
Flavio Costantini,86,Italian artist
Flynn Robinson,72,"American basketball player (Los Angeles Lakers, Milwaukee Bucks), multiple myeloma"
Fotis Polymeris,93,Greek musician
Franca Rame,83,"Italian theatre actress, playwright, political activist, and wife of Dario Fo"
Francesco Renda,91,Italian historian and politician
Frank Comstock,90,American composer
Frank Nigel Hepper,84,English botanist
Frankie Librán,65,"American Puerto Rican baseball player (San Diego Padres), complications from diabetes"
Franklin White,90,British ballet dancer
Françoise Blanchard,58,French actress (La Morte Vivante)
Fred Ashton,82,"American politician, Mayor of Easton, Pennsylvania (1968–1976)"
Fred Mitchell,89,American artist
Fred White,76,"American sports broadcaster (Kansas City Royals), complications from melanoma"
Frederic Franklin,98,"British-born American ballet dancer and director, complications from pneumonia"
Frederic Lindsay,79,Scottish novelist
Fyodor Tuvin,39,Russian footballer
Félix Agramont Cota,95,"Mexican politician and agricultural engineer, first Governor of Baja California Sur (1970–1975), myocardial infarction"
Félix Bonnat,92,French bobsledder
Félix Ramananarivo,78,"Malagasy Roman Catholic prelate, Bishop of Antsirabe (1994–2009).[citation needed]"
G. Sarsfield Ford,79,"American judge, member of the Connecticut Supreme Court"
G. X. McSherry,88,"American politician, member of the New Mexico House of Representatives (1982–1998)"
Gabriel Fernandez,8,American child murder victim
Gene Burns,72,"American political radio broadcaster and food critic, complications from a stroke"
Geoffrey Gowan,83,"Canadian sports broadcaster (CBC) and executive (CAC), Parkinson's disease"
George M. Leader,95,"American politician, Governor of Pennsylvania (1955–1959)"
George Sauer Jr.,69,"American football player (New York Jets), heart failure"
George William Gray,86,"British scientist, recipient of the 1995 Kyoto Prize for Advanced Technology"
Georges Moustaki,79,Egyptian-born French singer and songwriter
Gerald E. Brown,86,American theoretical physicist
Gerd Langguth,66,German politician and political scientist.[citation needed]
Gerd Schmückle,95,German general
Gerry Peacocke,81,"Australian politician, NSW MLA for Dubbo (1981–1999)"
Giacomo Soffiantino,84,Italian painter and artist
Giulio Andreotti,94,"Italian politician, Prime Minister (1972–1973, 1976–1979, 1989–1992), Minister of Foreign Affairs (1983–1989) and Lifetime Senator (since 1991)"
Godwin Mawuru,52,"Zimbabwean filmmaker and television producer, complications from diabetes"
Gordon Berg,85,"American politician, member of the North Dakota House of Representatives (1977–1991)"
Gordon Sherwood,83,American classical composer
Gotthard Graubner,82,German painter
Grady Hunt,91,American costume designer
Graham Leggett,92,"British RAF squadron leader, youngest surviving pilot of the Battle of Britain"
Greg Quill,66,"Australian roots musician and entertainment critic (Toronto Star), pneumonia"
Gregory Rogers,55,"Australian children's book writer, cancer"
Grete Dollitz,88,German–born American radio presenter and classical guitarist
Gunnel Johansson,90,Swedish artistic gymnast
György Bárdy,92,Hungarian actor
Gábor Gellért Kis,66,"Hungarian journalist, MP for Monor (1994–1998)"
Géza Vermes,88,"Hungarian-born British theologian and Dead Sea Scrolls scholar, cancer"
