Name,Age,Info
A. N. R. Robinson,87,"Trinbagonian politician, President (1997–2003), Prime Minister (1986–1991), recognized for role in establishing the International Criminal Court"
Aaron Landes,84,"American rabbi and U.S. Navy chaplain, leukemia"
Abdul Qadir,70,"Afghan politician, Minister of Defense (1978, 1982–1986)"
Adolf Seilacher,89,German palaeontologist
Adrian Haynes,88,American Wampanoag chief
Adrianne Wadewitz,37,"American scholar, rockclimbing fall"
Akira Endo,75,Japanese-born American conductor
Al Clayton,79,American photographer
Al Feldstein,88,"American writer and editor (Mad, Tales from the Crypt)"
Alan Davie,93,Scottish painter and musician
Albert Manent,83,Spanish writer and activist
Albert Onyeawuna,78,Nigerian footballer (national team)
Ale Narendra,67,"Indian politician, MP for Nizamabad (1999–2004) and Medak (2004–2008), Andhra Pradesh MLA for Himayatnagar (1983–1999)"
Alexander Lenkov,70,"Russian actor, People's Artist (1997)"
Alexandre Guyodo,91,French Olympic steeplechaser (1948)
Alfonso Márquez de la Plata,80,"Chilean politician, Minister of Agriculture (1977–1980), General Secretary of Government (1984) and Labour (1984–1988), pneumonia"
Alfred Niepieklo,86,German footballer
Alfredo Alcón,84,"Argentine actor (The Innocents, El Santo de la Espada, Sugar Harvest), respiratory disease"
Ali Gul Sangi,61,Pakistani poet
Alida van der Anker-Doedens,91,Dutch Olympic silver-medalist sprint canoer (1948)
Alieu Badara Saja Taal,70,"Gambian academic and newspaper executive, managing director of The Daily Observer, liver infection"
Alistair MacLeod,77,"Canadian author, complications from a stroke"
Allan Lindsay,88,British Olympic athlete
Allen Jacobs,72,"American football player (Green Bay Packers, New York Giants), heart attack"
Allison DeLong,73,Canadian politician
Aloísio Roque Oppermann,77,"Brazilian Roman Catholic prelate, Archbishop of Uberaba (1996–2012). (body discovered on this date)"
Amaka Igwe,51,"Nigerian film director and producer, asthma attack"
Anatoly Sukhorukov,78,Russian physicist
Andreas Bjørkum,82,Norwegian philologist
Andrei Aleksenko,80,Russian scientist
Andrei Bodiu,48,Romanian poet
Andrew Intamba,67,"Namibian diplomat and security director, first Ambassador to Egypt (since 2008), Director of the Central Intelligence Service (1991–2007)"
Andrew Joseph McDonald,90,"American Roman Catholic prelate, Bishop of Little Rock (1972–2000)"
Andrew Sessler,85,"American physicist and academic (University of California, Berkeley), recipient of the Enrico Fermi Award (2013), cancer"
Andréa Parisy,78,"French actress (The Little Bather, Babes a GoGo)"
