Name,Age,Info
Aaron Fussell,91,"American politician and educator, member of the North Carolina House of Representatives (1978–1994)"
Abdel Hamid Shaheen,75,Egyptian footballer (Zamalek)
Aimo Aho,63,Finnish javelin thrower
Aimo Jokinen,83,Finnish Olympic cyclist
Aimé Gruet-Masson,73,"French Olympic biathlete (1968, 1972, 1976)"
Al Broadhurst,87,American speed skater
Alakbar Mammadov,84,Azerbaijani Soviet football player and manager
Alan Alan,87,British escapologist and magician
Alan Astbury,79,Canadian physicist
Alan C. Greenberg,86,"American financier, chairman and CEO of Bear Stearns, complications from cancer"
Alan J. Dixon,86,"American politician, U.S. Senator from Illinois (1981–1993), Illinois Treasurer (1971–1977) and Secretary of State (1977–1981)"
Albert McDonald,83,"American politician, member of the Alabama Senate (1974–1982)"
Alberto Cassano,79,Argentine engineer and academic
Alec Douglas,74,South African cricketer
Alex Forbes,89,"Scottish footballer (national team), prostate cancer"
Alfred de Grazia,94,American political scientist and author
Alfredo Di Stéfano,88,"Argentine-born Spanish football player and coach (Real Madrid), complications from a heart attack"
Alice Coachman,90,"American high jumper, first black woman to become Olympic champion (1948)"
Alison Bielski,88,Welsh poet and writer
Alistair Hanna,69,"Northern Irish managerial consulting executive, cancer"
Alois Spichtig,87,Swiss graphic artist and sculptor
Alphonse Baume,80,Swiss Olympic skier
Anatoly Kornukov,72,"Soviet-born Russian military officer, commander-in-chief of the Russian Air Force (1998–2002), ordered KAL 007 to be shot down"
Anatoly Petrov,84,Soviet Olympic athlete
Andreas Biermann,33,"German footballer, suicide"
Andrew Collier,69,"English philosopher, cancer"
Andrew Mango,88,Turkish-born British journalist (BBC) and biographer (Mustafa Kemal Atatürk)
Andries Putter,78,"South African naval officer, chief of the Navy, kidney failure"
Andy Jardine,78,Scottish footballer (Dumbarton)
Ange Dellasantina,80,French footballer
Anna Kaaleste,84,Soviet Olympic cross-country skier
Anne Hollander,83,American historian of fashion
Annik Honoré,56,"Belgian music journalist and promoter, portrayed in Control, cancer"
Anthony Smith,88,"British explorer, balloonist and television presenter"
Antonio Riva Palacio,88,"Mexican politician, Governor of Morelos (1988–1994)"
Archibald Wilson,93,"Rhodesian-born Australian fighter pilot, flew for the Royal Air Force during World War II"
Ariano Suassuna,87,"Brazilian writer, cardiac arrest as a complication from a stroke"
Arimbra Bapu,78,Indian politician
Arnold Beck,65,Liechtenstein alpine skier
Arpad Joó,66,Hungarian-born American conductor
Art Bakeraitis,89,American basketball player
Art Schult,86,"American baseball player (New York Yankees, Chicago Cubs, Boston Red Sox)"
Arthur Clarke,92,British sports shooter
Arturo Goetz,70,Argentine actor
Augie Rodriguez,86,"American dancer, popularized the Mambo"
Avelin P. Tacon Jr.,99,"American USAF officer, major general commander of Nellis, Langley and Foster Air Force Base, deputy commander of the Twelfth Air Force"
Axel Stoll,65,German geophysicist and conspiracy theorist
Bamidele Aturu,49,"Nigerian lawyer and human rights activist, leukemia"
Barbara Turf,71,"American home furnishing executive, CEO of Crate & Barrel (2008–2012), pancreatic cancer"
Beau Genius,29,"Canadian Thoroughbred racehorse, euthanized"
Bel Kaufman,103,German-born American teacher and author (Up the Down Staircase)
Ben Pangelinan,58,"American Guamanian politician, member (since 1994) and Speaker (2003–2005) of the Legislature of Guam, cancer"
Benedict L. Stabile,86,"American vice admiral, Vice Commandant of the United States Coast Guard (1972–1986)"
Benedito de Assis da Silva,61,"Brazilian footballer (Fluminense), multiple organ failure"
Benoît Duquesne,56,"French journalist and news anchor, heart attack"
Berl Priebe,96,"American politician, member of the Iowa House of Representatives (1968–1972) and Senate (1972–1996)"
Berndt Katter,82,"Finnish modern pentathlete, Olympic bronze medalist (1956)"
Bertil Haase,91,"Swedish modern pentathlete, Olympic bronze medalist (1948)"
Betty Cody,92,Canadian-born American country music singer
Betty Jo Charlton,91,"American politician, member of the Kansas House of Representatives (1980–1994)"
Bhairab Ganguli,82,Indian cricket umpire
Bill Koski,82,American baseball player (Pittsburgh Pirates)
Bill McGill,74,"American basketball player (Chicago Zephyrs, New York Knicks)"
Bill Mulliken,74,"American swimmer, Olympic champion (1960)"
Bill Thompson,82,American television host (The Wallace and Ladmo Show)
Bill Walsh,90,English footballer (Sunderland)
