Name,Age,Info
Aarne Honkavaara,91,Finnish Olympic ice hockey player (1952) and coach (national team)
Abbas Vaez-Tabasi,80,"Iranian cleric, Grand Imam of Ali al-Ridha mosque (since 1979), cancer"
Abel Dhaira,28,"Ugandan footballer (national team), abdominal cancer"
Abu Ali al-Anbari,57,"Iraqi militant, commander of ISIL, bombing"
Adam Dziewonski,79,Polish-born American geophysicist
Adam Faul,86,Canadian Olympic boxer (1948)
Adam Kelly Ward,33,"American criminal, execution by lethal injection"
Adam Żurowski,86,Polish geodesist
Adnan Abu Hassan,57,"Malaysian composer, stroke, diabetes and kidney failure"
Adrian Hardiman,64,"Irish judge, member of the Supreme Court (since 2000)"
Adriana Innocenti,89,"Italian actress (Eye of the Cat, Lobster for Breakfast, The Cat)"
Adrienne Corri,85,"British actress (Doctor Zhivago, A Clockwork Orange, Doctor Who), heart failure"
Aduke Alakija,95,"Nigerian diplomat, ambassador to Sweden (1984–1987)"
Aharon Megged,95,Polish-born Israeli author
Ahmed Baba Miské,80,"Mauritanian politician and diplomat, Ambassador to the United States (1964–1966), Permanent Representative to the United Nations (1964–1966)"
Akira Tago,90,Japanese psychologist
Al Wistert,95,"American football player (Philadelphia Eagles, Michigan Wolverines), NFL Champion (1948, 1949)"
Alain Decaux,90,"French historian, member of the Académie française"
Alan Henry,68,British motorsport journalist
Alan Spavin,74,"English footballer (Preston North End, Dundalk)"
Aldo Ferrer,88,Argentine economist
Aldo Ralli,80,"Italian actor (Il Divo, Crime in Formula One)"
Alexander Esenin-Volpin,91,Soviet-born American poet and mathematician
Alexander Prokhorenko,25,"Russian soldier, airstrike"
Alfred E. Senn,83,"American historian and academic, awarded Order of Vytautas the Great for service to Lithuania"
Alfredo Sabbadin,80,Italian cyclist
Ali Ahmed Hussain Khan,76,"Indian shehnai musician, kidney disease"
Alice Pollitt,86,American AAGPBL baseball player (Rockford Peaches)
Allan Michaelsen,68,"Danish football player and coach, brain cancer"
Allan Rocher,80,"Australian politician, Senator (1977–1981) and MP (1981–1998), Consul-General in Los Angeles"
Alphonse Liguori Chaupa,56,"Papua New Guinean Catholic prelate, Bishop of Kimbe (2003–2008)"
Amaury Epaminondas,80,"Brazilian footballer (São Paulo F.C., Deportivo Toluca F.C.)"
Anatoly Savin,95,"Soviet and Russian weapons designer, Hero of Socialist Labour"
Andreas Henrisusanta,80,"Indonesian Roman Catholic prelate, Bishop of Tanjungkarang (1976–2012)"
Andreas Peter Cornelius Sol,100,"Dutch-born Indonesian Roman Catholic prelate, Bishop of Amboina (1965–1994)"
Andrew Gotianun,88,"Filipino real estate and financial sector executive, founder of Filinvest"
Andrew Grove,79,"Hungarian-born American electronic executive, CEO and chairman of Intel Corporation, Parkinson's disease"
André Adam,79,"Belgian-French diplomat, Ambassador to Algeria (1986–1990), Zaire (1990–1991) and United States (1994–1998), injuries sustained in Brussels Airport bombings"
André Boerstra,91,"Dutch field hockey player, Olympic silver medalist (1952), bronze medalist (1948)"
André Brincourt,95,French author
André Bénard,93,"French oil and transit executive, co-chairman of the Eurotunnel"
André Paris,90,French Olympic athlete
Angela Goodwin,90,"Italian actress (My Friends, Julia and Julia, Come Have Coffee with Us)"
Angela Stevens,90,"American actress (He Cooked His Goose, Creature with the Atom Brain)"
Anita Brookner,87,"British novelist (Hotel du Lac) and art historian, Man Booker Prize winner (1984)"
Anker Jørgensen,93,"Danish politician, Prime Minister (1972–1973, 1975–1982)"
Annastasia Batikis,88,American baseball player (Racine Belles)
Anne Aasheim,53,"Norwegian newspaper editor (Dagbladet), lung cancer"
Anthony Carrigan,35,"British academic, cancer"
Antoine Demoitié,25,"Belgian cyclist, race collision"
Antoni Asunción,64,"Spanish politician, Minister of Interior (1993–1994)"
Antonio Cabangon-Chua,81,"Filipino real estate, financial executive and diplomat, Ambassador to Laos, founder of Citystate Savings Bank"
Aníbal Alzate,83,Colombian footballer
Arie Smit,99,Dutch-born Indonesian painter
Arkangelo Bari Wanji,80,"South Sudanese politician and academic, member of the National Assembly (since 2010)"
Arthur Keily,94,British Olympic marathon runner (1960)
Arthur W. Walker,63,South African Air Force helicopter pilot
Arto Koivisto,85,Finnish basketball player
Ashok Ghosh,94,"Indian politician, General Secretary of All India Forward Bloc (since 1946), lower respiratory tract infection"
Aubrey McClendon,56,"American energy and basketball executive, CEO of Chesapeake Energy, part-owner of the Oklahoma City Thunder, traffic collision"
Bajina Ramprasad,75,Indian cricketer
Bandar bin Saud bin Abdulaziz Al Saud,90,Saudi royal
Bankroll Fresh,28,"American rapper, shot"
Barbara Almond,77,"American psychiatrist, bladder cancer"
Barry Hines,76,"English author (A Kestrel for a Knave), Alzheimer's disease"
Baxter LePage,11,"American dog, first dog of Maine (since 2011)"
Beatriz Canedo Patiño,66,Bolivian fashion designer
Ben Bagdikian,96,Armenian-American educator and journalist
Benoît Lacroix,100,Canadian Dominican priest and historian
Bernard Lamarre,84,"Canadian soil mechanics engineer and businessman, CEO of Lavalin (1962–1991)"
Bernard Neal,93,British structural engineer and croquet player
Berta Cáceres,42,"Honduran indigenous leader, shot"
Bertil Roos,72,Swedish racing driver and instructor
Better Loosen Up,30,"Australian Thoroughbred racehorse, winner of the Japan Cup and Racehorse of the Year (1990), euthanised"
Bill Cooper,87,British sailor
Bill Gadsby,88,"Canadian Hall of Fame ice hockey player (Detroit Red Wings, Chicago Blackhawks, New York Rangers)"
Bill Michael,81,"American football coach (UTEP, 1977–1981)"
Bill Robinson,87,American football player (Green Bay Packers)
Bill Rosendahl,70,"American politician, member of the Los Angeles City Council (2005–2013), cancer"
Bill Wade,85,"American football player (Los Angeles Rams, Chicago Bears), NFL Champion (1963)"
Bill Whitby,72,American baseball player (Minnesota Twins)
Billy Ritchie,79,"Scottish footballer (Rangers, Partick Thistle)"
Bo Nat Khann Mway,55,"Burmese Karen military officer, commander-in-chief of DKBA, neck cancer"
Bob Adelman,85,American photographer of the Civil Rights Movement
Bobby Johns,83,"American race car driver (NASCAR, Indianapolis 500)"
Bogdan Denitch,86,American sociologist
Brenda Naylor,89,British sculptor
Brendan Sloan,67,Northern Irish Gaelic football player (Down)
Brian Smyth,91,Irish Gaelic footballer and hurler (Meath)
Bruno Agostinelli,28,"Canadian tennis player (Davis Cup), traffic collision"
Bud Collins,86,American sports journalist
Burdett Coutts,96,Singaporean Olympic hockey player
Béla Biszku,94,"Hungarian politician, Minister of the Interior (1957–1961)"
Béla Kuharszki,75,Hungarian footballer (Újpesti Dózsa)
