Name,Age,Info
A. Santha Kumar,52,"Indian playwright and screenwriter, complications from leukaemia and COVID-19"
Abd Rahman Yusof,64,"Malaysian politician, MP (1999–2004), lung cancer"
Abdalelah Haroun,24,"Sudanese-born Qatari Olympic sprinter (2016), Asian Games 400m champion (2018), world junior 400m champion (2016), traffic collision"
Abdul Latif Ibrahimi,62,"Afghan politician, governor of Kunduz (2002–2004), Faryab (2004–2005), and Takhar (2009–2010, 2013–2015), COVID-19"
Abdur Razzaq Iskander,85,"Pakistani Islamic scholar, chancellor of Jamia Uloom-ul-Islamia (since 1997), emir of AMTKN (since 2015) and president of Wifaq ul Madaris (since 2017)"
Aby Har Even,84,"Romanian-Israeli engineer, complications from arson injuries"
Ad van 't Veer,80,Dutch music director and music group founder (Xenakis Ensemble)
Adam Smelczyński,90,"Polish trap shooter, Olympic silver medalist (1956)"
Addo Bonetti,95,"American politician, member of the Connecticut House of Representatives (1967–1979)"
Adnan Al Sharqi,79,"Lebanese football player (Al Ansar) and manager (Al Nahda, national team)"
Afemata Tunumafono Apelu Aiavao,90,Samoan journalist
Ahmed Bilal Shah,67,"Pakistani-Zimbabwean physician and television presenter, COVID-19"
Alaa al-Siddiq,33,"Emirati human rights activist, traffic collision"
Alain Paul Lebeaupin,76,"French Roman Catholic prelate, apostolic nuncio to the European Union (2012–2020), heart attack"
Alain Richard,95,French monk
Alain Viala,73,English literary scientist
Alajos Dornbach,85,"Hungarian politician and lawyer, member (1990–2002) and deputy speaker (1990–1994) of the National Assembly"
Alan Lewis,75,British music journalist and editor
Alan Miller,51,"English footballer (Arsenal, Middlesbrough, West Bromwich Albion)"
Alejandro Orfila,96,"Argentine diplomat and winemaker, secretary general of the Organization of American States (1975–1984)"
Aleksandr Averyanov,72,"Russian football player (Lokomotiv Moscow) and manager (Okean Nakhodka, Dynamo Saint Petersburg)"
Alex Harvill,29,"American motorcycle stuntman, crash during practice"
Alex Hesegem,63,"Indonesian politician, vice governor of Papua (2006–2011), complications from diabetes, pneumonia and COVID-19"
Alexander,68,"Azerbaijani Russian Orthodox prelate, archbishop of Baku and Azerbaijan (since 1999), COVID-19"
Ali Akbar Mohtashamipur,73,"Iranian politician, MP (1990–1992, 2000–2004), minister of the interior (1985–1989), co-founder of Hezbollah, complications from COVID-19"
Alison Greenspan,48,"American film and television producer (Monte Carlo, The Best of Me, For Life), cancer"
Allan Kiil,57,Estonian swimmer
Allen Midgette,82,"American actor (La commare secca, Before the Revolution, Lonesome Cowboys)"
Allistar Fredericks,49,South African Olympic field hockey player (1996)
Amarasigamani,70,"Indian poet and actor (Raman Abdullah, Julie Ganapathi, Rendu)"
Anatoly Chukanov,67,"Russian racing cyclist, Olympic champion (1976)"
Anatoly Lysenko,84,"Russian television personality, journalist and producer"
Andrew Moody,60,"British journalist (China Daily, The Washington Post, The Wall Street Journal), amyotrophic lateral sclerosis"
Andrew Welsh,77,"Scottish politician, MP (1974–1979, 1987–2001), MSP (1999–2011)"
Andrzej Szczytko,65,Polish actor and stage director
Andrés Ortiz-Osés,78,Spanish philosopher
Andy Wells,75,"Canadian politician, mayor of St. John's (1997–2008)"
Ann Hraychuck,69,"American politician, member of the Wisconsin State Assembly (2007–2011), cancer"
Ann Russell Miller,92,American socialite and nun
Anna C. Verna,90,"American politician, member (1975–2012) and president (1999–2011) of the Philadelphia City Council"
Anne van der Meiden,91,"Dutch theologian, professor (Utrecht University) and translator"
Antoine Bailly,76,"Swiss geographer, recipient of the Vautrin Lud Prize (2011)"
Antoinette Duclaire,33,"Haitian feminist and political activist, shot"
Antonio Helguera,55,Mexican cartoonist (La Jornada)
Antonio Salines,84,"Italian actor (Monella, The Gamecock, Senso '45) and director"
Armin Franulic,77,Bolivian rally driver
Arnold H. Buss,96,American psychologist
Arnold Odermatt,96,Swiss police photographer
Art Ditmar,92,"American baseball player (New York Yankees, Philadelphia / Kansas City Athletics), World Series champion (1958)"
Arthur M. Poskanzer,90,American experimental physicist
Arturo Schwarz,97,"Italian art historian, poet, and writer"
Ash Riser,31,American musician and music producer
Ashley Henley,40,"American politician, member of the Mississippi House of Representatives (2016–2020), shot"
Ashok Panagariya,71,"Indian neurologist and medical researcher, complications from COVID-19"
Atal Bihari Panda,92,"Indian actor (Sala Budha, Aadim Vichar), playwright, and lyricist, complications from COVID-19"
Aziza Baccouche,48,"American physicist, brain tumour"
B. Jaya,76,"Indian actress (Nyayave Devaru, Devaru Kotta Thangi, Sampathige Savaal)"
B. Vijayakrishna,71,Indian cricketer (Karnataka)
Bachir Qamari,70,Moroccan literary critic
Barbara Mertens,53,"Belgian journalist and TV presenter (Bel RTL, RTL-TVI), cancer"
Barbara Murphy,56,"Irish nephrologist, glioblastoma"
Barbara Sargeant,81,Australian Olympic swimmer (1956)
Bart Bartholomew,85,American Olympic weightlifter (1968)
Bart Van Lancker,48,"Belgian football coach (KV Kortrijk, Sint-Truiden, OH Leuven), cancer"
Ben Roberts,70,"British actor (The Bill, Jane Eyre, A Little Chaos), kidney failure"
Benigno Aquino III,61,"Filipino politician, president (2010–2016), senator (2007–2010) and member of the House of Representatives (1998–2007), diabetic nephropathy"
Benon Magezi,60,"Ugandan Anglican prelate, bishop of North Kigezi (since 2017), COVID-19"
Bernard Van Der Linde,75,"Dutch-born French cyclist, leukemia"
Bernardo Mercado,69,"Colombian boxer, cardiac arrest"
Bernette Ford,70,"American author, cancer"
Beryl Penrose,90,Australian tennis player
Betty Mpeka,67,"Ugandan physician, COVID-19"
Bev Scalze,77,"American politician, member of the Minnesota House of Representatives (2005–2013) and Senate (2013–2017), cancer"
Bhekiziziwe Peterson,60,South African writer and academic
Big Jake,20,"American Belgian gelding, tallest living horse (since 2010). (death announced on this date)"
Bijayshree Routray,67,"Indian politician, Odisha MLA (since 1990), complications from COVID-19"
Bikram Keshari Barma,81,"Indian politician, Odisha MLA (2004–2009), complications from COVID-19"
Bill Byrne,80,American football player (Philadelphia Eagles)
Bill Dotson,80,"American middle-distance runner, cancer"
Bill Scanlon,64,"American tennis player, cancer"
Bill Weigand,92,"Canadian politician, mayor of Whitehorse (1991–1994)"
Billy Fuccillo,65,American car dealer
Bob Leaf,89,"American public relations executive, cancer"
Bob Newland,72,American football player (New Orleans Saints)
Bob Tata,91,"American politician, member of the Virginia House of Delegates (1984–2014)"
Bonfoh Abass,72,"Togolese politician, member (1999–2013) and president (2005–2013) of the National Assembly, acting president (2005)"
Boris Borovsky,82,Russian tennis player and sports journalist
Boris Tarasov,89,"Russian military officer and politician, member of the Supreme Soviet (1990–1993)"
Boryana Straubel,38,"Bulgarian business executive (Tesla, Wikimedia Foundation), traffic collision"
Brian Baker,47,"American politician, member of the Missouri House of Representatives (2002–2008), complications from COVID-19"
Brian Bamford,85,English professional golfer
Brian London,87,"English heavyweight boxer, British and Commonwealth champion (1958–1959)"
Buddhadeb Dasgupta,77,"Indian film director (Bagh Bahadur, Tahader Katha, Uttara) and poet, kidney disease"
Buddhika Kurukularatne,77,"Sri Lankan politician, MP (1989–1994)"
Bunny Matthews,70,"American cartoonist and writer, central nervous system lymphoma"
