Name,Age,Info
A. Cecile J.W. Janssens,54,"Dutch epidemiologist, leukemia"
Abbas Maroufi,65,Iranian writer
Abderrahmane Mehdaoui,72,"Algerian footballer (WA Tlemcen, DRB Tadjenanet, national team)"
Abul Hasnat,82,"Bangladeshi lawyer and politician, MP (1990), twice minister of housing, mayor of Dhaka (1977–1982, 1990)"
Adam Kendon,88,British linguist and semiotician
Adam Kułach,57,Polish diplomat
Ahmet Toptaş,73,"Turkish politician, MP (2011–2015), lymphoma"
Akbar Ali Khan,78,Bangladeshi economist
Akio Miyazawa,65,"Japanese playwright, heart failure"
Akissi Kouamé,67,Ivorian army officer
Al Primo,87,American television news executive
Alain Goldmann,90,French rabbi
Alain Tanner,92,"Swiss film director (Charles, Dead or Alive, Jonah Who Will Be 25 in the Year 2000, In the White City) and screenwriter"
Alan Richwald,84,American explosive ordnance disposal expert
Alan Wilkins,52,Scottish playwright
Alarico Gattia,94,Italian comic artist and illustrator
Albert Hasibuan,83,"Indonesian lawyer and politician, member of the Presidential Advisory Council (2012–2015) and Congress (1971–1997)"
Albert J. Dooley,92,"American politician, member of the South Carolina House of Representatives (1959–1964) and Senate (1971–1976)"
Albert Legault,84,Canadian academic and researcher
Aleksander Wrona,82,Polish Olympic field hockey player
Aleksey Nagin,41,Russian military officer
Alexandru Arșinel,83,"Romanian actor (Colierul de turcoaze, Everybody in Our Family)"
Alexandru Vagner,33,"Romanian footballer (Gloria Bistriţa, Târgu Mureș, Brașov), heart attack"
Alfred Michael,94,American physician
Allan M. Siegal,82,American newspaper editor (The New York Times)
Allen Aylett,88,Australian football player (North Melbourne) and administrator
Alois Roppert,88,"Austrian politician, MP (1979–1994)"
Amadou Ali,79,"Cameroonian politician, minister of justice (2001–2011)"
Amar Singh Mangat,87,Kenyan Olympic field hockey player (1964)
Amedeo Matacena,59,"Italian shipowner, mobster and politician, deputy (1994–2001), heart attack"
Amin Tarokh,69,"Iranian actor (Mother, Sara, Aghazadeh), heart disease"
Anatoliy Molotay,84,"Ukrainian football player (Lokomotyv Vinnytsia) and manager (Dnipro Cherkasy, Dynamo Irpin)"
Anatoliy Smirnov,80,Russian politician
Anatoly Gerashchenko,72,"Russian aviation scientist and academic, rector of the Moscow Aviation Institute (2007–2015), fall"
Anders Lönnbro,76,"Swedish actor (The Score, 1939, Tjenare kungen)"
Andon Boshkovski,47,"Macedonian handball coach (HC Rabotnichki, RK Eurofarm Rabotnik, Georgia national team)"
Andre Payette,46,"Canadian ice hockey player (Philadelphia Phantoms, Newcastle Vipers, Sheffield Steeldogs)"
Andrea Molnár-Bodó,88,"Hungarian gymnast, Olympic champion (1956)"
Andrew van der Bijl,94,"Dutch Christian missionary, founder of Open Doors"
Andrée Ferretti,87,Canadian Quebec independence activist and author
Andrés Prieto,93,"Chilean football player (Universidad Católica, national team) and manager (Colo-Colo)"
Andy Detwiler,52,American farmer and internet personality
Andy Romano,86,"American actor (Under Siege, Major League, Hill Street Blues)"
Angus McKenzie,86,British Olympic fencer (1960)
Ann Wigglesworth,83,British activist
Anne Garrels,71,"American journalist (NPR, ABC News, NBC News), lung cancer"
Anthony Varvaro,37,"American baseball player (Seattle Mariners, Atlanta Braves, Boston Red Sox), traffic collision"
Anton Fier,66,"American drummer (The Feelies, The Golden Palominos, Bob Mould), composer and producer, assisted suicide"
Antonio Ceballos Atienza,87,"Spanish Roman Catholic prelate, bishop of Ciudad Rodrigo (1988–1993) and Cádiz y Ceuta (1993–2011), stroke"
Aníbal Ramón Ruffner,63,"Peruvian engineer and politician, mayor of San Buenaventura District, Canta (2003–2010)"
Aram Bakshian,78,"American political aide and speechwriter, White House director of speechwriting (1981–1983)"
Arlene Bashnett,103,American internet celebrity (Gramma and Ginga)
Arnold Parsons,95,English Olympic wrestler
Arnold Vitarbo,86,American Olympic sport shooter (1968)
Art Noonan,70,"American politician, member of the Montana House of Representatives (2004–2009), heart attack"
Art Rosenbaum,83,"American visual artist and musician, Grammy winner (2008)"
Arthur Cotton Moore,87,American architect
Arvind Giri,64,"Indian politician, Uttar Pradesh MLA (since 1996), heart attack"
Aryadan Muhammed,87,"Indian politician, Kerala MLA (1977–2016)"
Asad Rauf,66,"Pakistani cricket player (National Bank of Pakistan, Lahore) and umpire, cardiac arrest"
Ashokan,60,"Indian film director (Varnam, Saandram, Mookilla Rajyathu)"
Audrey Evans,97,"British-born American oncologist and philanthropist, co-founder of Ronald McDonald House Charities"
Axel Jodorowsky,57,"Mexican-French actor (Santa Sangre, The Dance of Reality)"
Azyumardi Azra,67,"Indonesian Islamic scholar, rector of Syarif Hidayatullah State Islamic University Jakarta (1998–2006)"
Aïcha Chenna,81,"Moroccan social worker and women's rights activist, founder of Association Solidarité Féminine"
B. B. Lal,101,"Indian archaeologist, director general of the ASI (1968–1972)"
Bamba Bakya,41,"Indian playback singer, cardiac arrest"
Barbara Ehrenreich,81,"American author (Nickel and Dimed, Bait and Switch, Dancing in the Streets) and political activist, stroke"
Barry Muir,84,"Australian rugby player (Tweed Heads Seagulls, Queensland, national team)"
Bartolomé Clavero,75,"Spanish jurist, legal historian and academic"
Bengt Gingsjö,70,"Swedish Olympic swimmer (1972, 1976)"
Bernard Shaw,82,"American journalist (CNN), pneumonia"
Bernhardt Edskes,81,Dutch-Swiss organ builder
Bertha Espinoza Segura,64,"Mexican politician, deputy (since 2018), cancer"
Bill Basford,92,"American politician, member of the Florida House of Representatives (1963–1966)"
Bill Blaikie,71,"Canadian politician, MP (1979–2008) and Manitoba MLA (2009–2011), cancer"
Bill Fulcher,88,"American football player (Washington Redskins) and coach (Georgia Tech Yellow Jackets, Tampa Spartans)"
Bill James,92,American politician
Bill Pearl,91,American bodybuilder
Bill Plante,84,American journalist (CBS News)
Billy Sothern,45,American lawyer
Bishnu Sethi,61,"Indian writer and politician, Odisha MLA (2000–2004), kidney disease"
Bo Brundin,85,"Swedish actor (Tales of the Gold Monkey, The Great Waldo Pepper, Russian Roulette)"
Bo Harwood,76,"American sound engineer (Felicity, Six Feet Under, Pee-wee's Playhouse) and composer"
Bob Humphreys,86,American athlete
Bob Stacey,72,American attorney
Bobby Keyes,79,"Australian rugby league player (Eastern Suburbs, Newtown)"
Bobby Watkins,90,"American football player (Chicago Bears, Chicago Cardinals)"
Boris Dobrodeev,95,"Russian screenwriter (The First Teacher, Particularly Important Task, Recollections of Pavlovsk)"
Boris Lagutin,84,"Russian boxer, Olympic champion (1964, 1968)"
Boris Moiseev,68,"Russian pop singer, choreographer and dancer, stroke"
Brian Binnie,69,American commercial astronaut (SpaceShipOne flight 17P)
Brian Catling,73,"British sculptor, writer (The Vorrh, The Erstwhile) and filmmaker"
Brian Hewson,89,"English Olympic middle-distance runner (1956, 1960)"
Brian Mullins,68,"Irish Gaelic football player (St Vincents, Dublin) and manager (Derry)"
