Name,Age,Info
Aage Hansen,88,Norwegian motorcycle speedway rider (Ipswich Witches)
Aaron Harper,42,"American basketball player (Chorale Roanne, Levski Sofia, Ferro Carril Oeste), traffic collision"
Abdelkader Retnani,78,"Moroccan editor, writer, and sporting director"
Abel Ignacio Cuevas Melo,58,"Mexican politician, deputy (2000–2003, 2006–2009)"
Abraham Bergman,91,American pediatrician
Absolute Andy,40,German professional wrestler (wXw)
Adele Änggård,90,Swedish-British stage and costume designer
Aderonke Kale,84,Nigerian army psychiatrist (Nigerian Army Medical Corps)
Adrian Webster,72,"English football player (Seattle Sounders, Colchester United) and manager (Phoenix Inferno)"
Ady Barkan,39,"American political activist, complications from amyotrophic lateral sclerosis"
Ageeda Paavel,93,Estonian anti-Soviet activist
Agustín Ibarrola,93,Spanish painter and sculptor
Agyemang Diawusie,25,"German footballer (Dynamo Dresden, Wehen Wiesbaden, Jahn Regensburg)"
Ahmad Bahar,74,"Palestinian politician, deputy speaker of the Legislative Council (since 2006), airstrike"
Ahmad Tousi,76,Iranian-American football manager (Sanat Naft)
Ahmed Ghandour,56,senior militant in the Izz al-Din al-Qassam Brigades of Hamas (death announced on this date)
Aivars Endziņš,82,"Latvian jurist and politician, MP (1993–1998) and chief justice of the Constitutional Court (2000–2007)"
Akbar Golpayegani,89,Iranian singer
Akgün Kaçmaz,88,"Turkish footballer (Fenerbahçe, national team)"
Akif Asgarov,83,Azerbaijani sculptor
Akram Hossain Chowdhury,68,"Bangladeshi politician, MP (2008–2014)"
Alain Estève,77,"French rugby union player (AS Béziers, national team)"
Alan Hevesi,83,"American politician, comptroller of New York City (1994–2001) and New York State (2003–2006), complications from Lewy body dementia"
Albert Alföldi,83,"Hungarian folk writer and politician, MP (1994–1998, 2004–2010)"
Albert Burger,68,"German Olympic alpine skier (1976, 1980)"
Albert Heinemann,84,"German jurist and politician, member of the Landtag of Lower Saxony (1990–2003)"
Albert Strickler,68,French poet and author
Alberto Pinto Coelho Júnior,78,"Brazilian politician, governor of Minas Gerais (2014–2015)"
Alberto da Costa e Silva,92,"Brazilian historian, poet, and diplomat"
Alcides Franciscato,94,"Brazilian engineer and politician, mayor of Bauru (1969–1973), three-time deputy"
Aldo Bet,74,"Italian footballer (Roma, Milan, national team)"
Aldo Lado,88,"Italian film director (Short Night of Glass Dolls, Who Saw Her Die?, The Humanoid), screenwriter and author"
Alec Knight,84,"English Anglican priest, dean of Lincoln (1998–2006)"
Alessandra Bianchi,59,"Italian sports journalist (Corriere dello Sport, L'Équipe, Le Parisien)"
Alessandro Figà Talamanca,85,Italian mathematician
Alex J. Walling,75,Canadian sports analyst and broadcaster
Alfredo Adum,71,"Ecuadorian lawyer and politician, deputy (1988–1990), minister of energy (1996–1997)"
Alfredo Prieto Valiente,89,"Spanish businessman and politician, deputy (1977–1982)"
Ali Niakani,72,"Iranian footballer (Malavan, national team)"
Alice Denney,101,"American art curator, stroke"
Allan Rogers,91,"British politician, MP (1983–2001) and MEP (1979–1984)"
Aloisio Butonidualevu,40,"Fijian rugby union player (Auch, FC Grenoble Rugby, national team)"
Aman Tuleyev,79,"Russian politician, governor (1997–2018) and chairman of the council of people's deputies (1994–1996, 2018) of Kemerovo Oblast"
Ana Bereciartúa,87,"Spanish politician, member of the Basque parliament (1980–1986, 1989–1990)"
Ana Clara Benevides,23,Brazilian university student
Anan Chaisaeng,96,"Thai politician, MP (1969–1976, 1983–1986, 2001–2005)"
Ando Leps,87,"Estonian jurist and politician, MP (1995–2003)"
Angela Maria Bottari,78,"Italian politician, deputy (1978–1987)"
Angela Marinescu,82,Romanian poet
Angelita Vargas,77,"Spanish flamenco singer and dancer, stroke"
Ann Rachlin,90,British musician and author
Ann Schlee,89,English novelist
Anna Felder,85,Swiss writer
Anna Kanakis,61,"Italian actress (2019, After the Fall of New York, The New Barbarians), writer and model, Miss Italia winner (1977), lymphoma"
Anna Scher,78,British-Irish drama school founder
Annabel Giles,64,"British actress (Riders, Firelight) and psychotherapist, glioblastoma"
Anne Hart,90,"English actress (Z-Cars, Play of the Week)"
Anne Michel,64,Belgian Olympic sprinter (1980)
Anthony Boam,91,"British army officer, commander of British Forces in Hong Kong (1985–1987)"
Anthony Farquhar,83,"Irish Roman Catholic prelate, auxiliary bishop of Down and Connor (1983–2015)"
Antoni Martí,60,"Andorran architect and politician, twice prime minister, mayor of Escaldes-Engordany (2003–2011) and general councillor (1994–2003)"
Antoni Marí Calbet,91,"Spanish doctor and politician, member of the Parliament of the Balearic Islands (1983–2003)"
Antonio Aranda Lomeña,80,"Spanish Roman Catholic priest, theologian and academic"
Antonio Del Monaco,67,"Italian military officer and politician, deputy (2018–2022)"
Antonis Parayios,94,"Greek footballer (AEK Athens, national team)"
António Carvalho,62,"Portuguese football player (Vitória, national team) and manager (Caçadores das Taipas)"
Ari Tissari,71,"Finnish footballer (KTP, Vasalund, national team)"
Arputhan,52,"Indian film director (Arputham, Love Today, Manathodu Mazhaikalam), traffic collision"
Arthur Bethell,82,Barbadian cricketer (national team)
Arthur Parkin,71,"New Zealand field hockey player (national team), Olympic champion (1976)"
Arthur Simon,93,"American Lutheran minister, founder of Bread for the World"
Asashio Tarō IV,67,"Japanese sumo wrestler, small intestine cancer"
Ashutosh Tandon,63,"Indian politician, Uttar Pradesh MLA (since 2014), heart failure"
Ato Tolentino,75,Filipino basketball player (Great Taste Coffee Makers) and coach (PCU Dolphins)
Avraham Menchel,87,"Israeli footballer (Maccabi Haifa, national team)"
B. N. Goswamy,90,Indian art critic and historian
B. Sasikumar,74,Indian violinist
Background Bob,15,British artist
Bai Bibyaon Ligkayan Bigkay,90,Filipino Lumad rights activist
Barbara Haščáková,43,"Slovak singer, stroke"
Basudeb Acharia,81,"Indian politician, MP (1980–2014)"
Ben Dunne,74,"Irish businessman, director of Dunnes Stores (since 1983) and founder of Ben Dunne Gyms, heart attack"
Benjamin-Gunnar Cohrs,58,"German conductor, scholar, and music publicist, heart attack"
Berend-Jan van Voorst tot Voorst,79,"Dutch politician, Queen's commissioner of Limburg (1993–2005), state secretary for defence (1989–1993) and foreign affairs (1988–1989)"
Bernard Lemaire,87,"Canadian papermaking executive, co-founder and CEO of Cascades"
Bettina Moissi,100,"German stage and film (The Original Sin, Long Is the Road, The Orplid Mystery) actress"
Betty Reardon,94,American teacher
Betty Rollin,87,"American author and journalist, assisted suicide"
Bill Dellastatious,101,American football player (Missouri Tigers) and coach (Missouri State Bears)
Bill Milbank,75,New Zealand art curator
Bita Farrahi,65,"Iranian actress (Hamoun, A House Built on Water, Island), heart and lung disease"
Bob Albright,87,"American politician, member of the Alabama House of Representatives (1974–1986)"
Bob Bugden,87,"Australian rugby league player (St. George Dragons, Parramatta Eels, national team)"
Bob Duckworth,94,"New Zealand motorcycle speedway rider (Belle Vue Aces, St Austell Gulls, Newcastle Diamonds)"
Bob Knight,83,"American Hall of Fame basketball coach (Indiana Hoosiers, Texas Tech Red Raiders, 1984 Olympic team)"
Bob White,87,"English cricketer (Middlesex, Nottinghamshire)"
Bob de Groot,82,"Belgian comic books artist (Chlorophylle, Clifton)"
Bobby Ussery,88,"American Hall of Fame jockey, heart failure"
Bolesław Fleszar,89,"Polish chemist and politician, senator (1989–1991)"
Bongi Ntuli,32,"South African footballer (Golden Arrows, Platinum Stars, AmaZulu), cancer"
Brenda Snipes,80,"American public official, supervisor of elections for Broward County, Florida (2003–2018)"
Brian Brain,83,"English cricketer (Worcestershire, Gloucestershire)"
Brian Godding,78,"Welsh jazz rock guitarist (Blossom Toes, Centipede)"
Brian Hebditch,75,"British Olympic sports shooter (1976), traffic collision"
Brian Sampson,88,"Australian racing driver, Bathurst 1000 winner (1975)"
Bronius Kuzmickas,87,"Lithuanian politician and philosopher, signatory of the Act of the Re-Establishment"
Bruce Sterling Jenkins,96,"American jurist and politician, judge of the U.S. District Court for the District of Utah (since 1978) and member of the Utah Senate (1959–1965)"
Bruno Fagnoul,87,"Belgian politician, minister-president of the German-speaking community (1984–1986)"
Bruno Zanoni,71,Italian racing cyclist
Bubba Copeland,49,"American politician, mayor of Smiths Station, Alabama (since 2016), suicide by gunshot"
Buzy,66,French singer
Béla Turi-Kovács,87,"Hungarian politician, MP (since 1998)"
C. L. Porinchukutty,91,Indian artist and art educator
Camara Nangala,68,Ivorian writer and teacher
Camilo Cascolan,59,"Filipino police officer, chief of the national police (2020)"
Carl Torbush,72,"American college football (Ole Miss Rebels, North Carolina Tar Heels) and baseball (Southeastern Louisiana Lions) coach"
Carlo Ambrosini,69,"Italian cartoonist (Ken Parker, Dylan Dog)"
Carlton Pearson,70,"American minister and gospel singer, subject of Come Sunday, prostate cancer"
Catherine Christer Hennix,75,"Swedish musician, poet and philosopher"
Cecil Sandford,95,"British motorcycle road racer, Grand Prix World Riders' Champion (1952, 1957)"
Chad Allan,80,"Canadian musician (The Guess Who, Brave Belt)"
Chandra Mohan,82,"Indian actor (Rangula Ratnam, Padaharella Vayasu, Siri Siri Muvva), heart attack"
Charles Gilchrist Adams,86,"American Baptist minister, pneumonia"
Charles Jordan,69,"American basketball player (Indiana Pacers, ASVEL, Fortitudo Bologna)"
Charles Peters,96,American journalist (Washington Monthly)
Charles Piaget,95,French watchmaker and trade unionist
Charlie Dominici,72,"American singer (Dream Theater, Dominici)"
Charlie Munger,99,"American investor, vice chairman of Berkshire Hathaway (since 1978) and chairman of Wesco Financial (1984–2011)"
Chen Wei-ling,48,"Taiwanese film director and screenwriter (Autumn's Concerto), cervical cancer"
Chris Alli,78,"Nigerian military officer, chief of army staff (1993–1994) and governor of Plateau State (1985–1986, 2004)"
Chris Parr,80,"British theatre director, television producer (Takin' Over the Asylum) and executive (BBC Birmingham), pneumonia"
Chris Stone,64,"Australian footballer (St Kilda), brain cancer"
Christiane Bervoets,75,"Belgian singer (""Eviva España"")"
Christiane Rimbaud,79,French historian
Clarence A. Holland,94,"American politician, member of the Virginia Senate (1984–1996) and mayor of Virginia Beach (1976–1978)"
Clarke Ingram,66,"American radio personality (WPXY, WZUM, WKHB)"
Claude Kahn,88,French pianist
Claude Michely,64,"Luxembourgish racing cyclist, heart attack"
Cláudio Strassburger,95,"Brazilian politician, federal deputy (1979–1983)"
Colette Maze,109,French classical pianist
Colin MacKay,79,"Scottish journalist (BBC Radio Scotland, Scottish Television)"
Colin Smith,87,"British-Nepali lepidopterist, gastrointestinal stromal tumor"
Colombo Machado Salles,97,"Brazilian engineer and politician, governor of Santa Catarina (1971–1975)"
Conny Van Dyke,78,"American singer and actress (Hell's Angels '69, W.W. and the Dixie Dancekings, Framed), complications from vascular dementia"
Conrado de Quiros,72,"Filipino journalist, columnist and writer"
Cristina Quintarelli,60,Italian Olympic swimmer (1984)
Cēzars Ozers,86,"Latvian basketball player, Olympic silver medalist (1960)"
D. B. Chandregowda,87,"Indian politician, MP (1971–1978, 1986–1989, 2009–2014) and three-times Karnataka MLA"
D. J. Hayden,33,"American football player (Oakland Raiders, Detroit Lions, Jacksonville Jaguars), traffic collision"
Daisaku Ikeda,95,"Japanese Buddhist philosopher and nuclear disarmament activist, president of Soka Gakkai (1960–1979) and Soka Gakkai International (since 1975)"
Daisy Lee Bitter,95,American science educator
Dale Reid,64,"Scottish golfer, cancer"
Dale Spender,80,"Australian feminist scholar, teacher, and writer (Man Made Language, Mothers of the Novel: 100 Good Women Writers Before Jane Austen)"
Dalia Teišerskytė,79,"Lithuanian politician, journalist and poet, MP (2000–2016)"
Dame A. S. Byatt,87,"British author (Possession, The Virgin in the Garden, The Djinn in the Nightingale's Eye)"
Dame Alexandra Burslem,83,British academic and public servant
Dan Dobbek,88,"American baseball player (Washington Senators/Minnesota Twins), heart failure"
Danilo Astori,83,"Uruguayan economist and politician, vice president (2010–2015), minister of economy (2005–2008, 2015–2020) and twice senator, respiratory failure"
Danutė Kvietkevičiūtė,84,Lithuanian textile designer
Darcy McKeough,90,"Canadian politician, Ontario MPP (1963–1978), treasurer of Ontario (1971–1972, 1975–1978), pneumonia"
Daryl Johnson,77,American football player (Boston Patriots)
Dave Stenhouse,90,American baseball player (Washington Senators)
Dave Young,64,"American football player (New York Giants, Baltimore/Indianapolis Colts)"
David Berglas,97,German-born British magician and mentalist
David Del Tredici,86,American composer
David Ferry,99,"American poet, translator and educator"
David G. Compton,93,"British author (Synthajoy, The Unsleeping Eye)"
David Gauthier,91,Canadian-American philosopher
David Hilditch,60,"Northern Irish politician, MLA (1998–2023), cancer"
David Pytches,92,"English Anglican clergyman, bishop of Chile, Bolivia and Peru (1972–1976)"
Davide Renne,46,"Italian fashion designer (Moschino), heart attack"
Davoud Hermidas-Bavand,89,Iranian diplomat and political scientist
